id,nombre,destinatar,direccion,barrio,comuna,telefono,email,web,geometry
240,Cedi Agronomia,Mixto de 45 Días a 3 Años,De Los Constituyentes Av. 3110,Agronomia,Comuna 15,4521-1986,cediagronomia@hotmail.com.ar,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/centros-de-desarrollo-infantil-cedis,POINT (-58.478087345030076 -34.59131096231912)
241,Cedi Herrera,Mixto de 45 Días a 3 Años,Herrera 566,Barracas,Comuna 4,4307-3070,cediherrera@hotmail.com,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/centros-de-desarrollo-infantil-cedis,POINT (-58.378041088431196 -34.63625630043761)
242,Cedi Dientitos de Leche,Mixto de 45 Días a 3 Años,Viamonte 872,San Nicolas,Comuna 1,4323-8761,cedidientitos@hotmail.com,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/centros-de-desarrollo-infantil-cedis,POINT (-58.37920352921667 -34.60041914923015)
243,Cedi Quinquela Martin,Mixto de 45 Días a 3 Años,Don Pedro De Mendoza Av. 1801,La Boca,Comuna 4,4301-5676,quinquelamartin2@gmail.com,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/centros-de-desarrollo-infantil-cedis,POINT (-58.36040185366546 -34.63880373659902)
244,Cedi Copello,Mixto de 45 Días a 3 Años,"Dellepiane, Luis, Tte. Gral. 4800",Villa Lugano,Comuna 8,,cedicopello2015@hotmail.com,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/centros-de-desarrollo-infantil-cedis,POINT (-58.47540349623301 -34.66617395004894)
246,Cedi Espora,Mixto de 45 Días a 3 Años,"Bonavena, Oscar Natalio 1500",Nueva Pompeya,Comuna 4,4911-8906,cedi_espora@hotmail.com,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/centros-de-desarrollo-infantil-cedis,POINT (-58.404760545803654 -34.65491236935725)
247,Cedi Tutzo de Bonifacio,Mixto de 45 Días a 3 Años,"Hugo, Victor 682",Villa Luro,Comuna 10,4568-3354,ceditutzo@gmail.com,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/centros-de-desarrollo-infantil-cedis,POINT (-58.50699709350913 -34.63262095226555)
248,Cedi Piedrabuena,Mixto de 45 Días a 3 Años,"Alvarez, Crisostomo 6750",Villa Lugano,Comuna 8,,cedipiedrabuena@yahoo.com,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/centros-de-desarrollo-infantil-cedis,POINT (-58.49252379543527 -34.67774043180168)
249,Cedi Fantasia y Garabatos,Mixto de 45 Días a 3 Años,"Cevallos, Virrey 1333",Constitucion,Comuna 1,4300-9607,cedifantasiaygarabatos@gmail.com,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/centros-de-desarrollo-infantil-cedis,POINT (-58.388627637608124 -34.62413300751732)
250,Cedi Mi Mundo Feliz,Mixto de 45 Días a 3 Años,Warnes Av. 2650,Paternal,Comuna 15,4523-8770,cedimimundofeliz@gmail.com,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/centros-de-desarrollo-infantil-cedis,POINT (-58.4760917769211 -34.59712864606485)
