id,nombre,telefono,email,horario,direccion,obs_dir,destinatar,barrio,comuna,geometry
197,Proyecto de Vida,4601-6791,comunidadproyectodevida@gmail.com,,Escalada Av. 3037,,Mixto de 1 a 3 Años,Villa Lugano,Comuna 8,POINT (-58.4688647080259 -34.66590271979558)
198,Padre Pepe,11 5329-2077,lealesalpadrepepe@gmail.com  amigosdelpadrepepe@yahoo.com.árbitro,,Luna 1913,,Mixto de 1 a 3 Años,Barracas,Comuna 4,POINT (-58.394955126564355 -34.6574138803861)
199,Semillitas,4951-6845,semillitas.cpi@gmail.com,,"Urquiza, Gral. 167",,Mixto de 1 a 3 Años,Balvanera,Comuna 3,POINT (-58.41017949695536 -34.61229311132897)
201,El Alfarero,4303-2507,c_elalfarero@hotmail.com,,Luna 1955,,Mixto de 45 Días a 3 Años,Barracas,Comuna 4,POINT (-58.39513157489124 -34.65797054930963)
202,La Buena Semilla,4638-9484,comunidadproyectodevida@gmail.com,,"Escalada Av. y Chilavert, Martiniano, Coronel",Mz. 19 Casa 30 4900,Mixto de 1 a 3 Años,Villa Lugano,Comuna 8,POINT (-58.462231566527045 -34.67162277540698)
203,Fundamind,4957-7111 / 7333,gmitre@fundamind.org.ar,,24 De Noviembre 142,,Mixto de 1 a 3 Años,Balvanera,Comuna 3,POINT (-58.41138282458236 -34.61229898737078)
204,Ningun Lugar Esta Lejos,4554-3756 / 4555-5286,Padresyvecinosconsulta@Outlook.com,,Olleros 3610,,Mixto de 45 Días a 3 Años,Chacarita,Comuna 15,POINT (-58.45057434102955 -34.582258176121876)
1966,Corazones Felices,3024 6963,cpicorazonesfelices@gmail.com,,Evita 1139,,Mixto de 45 Días a 3 Años,Retiro,Comuna 1,POINT (-58.38216300000001 -34.581797)
1967,San Juan Nocturno Main,4303-1155,cpisje@gmail.com,,"Araoz De Lamadrid, Gregorio, Gral. 447",,Mixto de 45 Días a 3 Años,La Boca,Comuna 4,POINT (-58.35883900000001 -34.63714500000001)
1968,Juanito Bosco,,,,California 787,,Mixto de 1 a 3 Años,La Boca,Comuna 4,POINT (-58.36069452607092 -34.64382691833748)
1969,Piedra Libre,,,,"Jovellanos, Gaspar M. De 1051",,Mixto de 1 a 3 Años,Barracas,Comuna 4,POINT (-58.371802583773835 -34.641766683804725)
1970,Sembrando Esperanza,6816 4139,cpisembrandoesperanza@gmail.com,,Riestra Av. y Rivera Indarte Av.,"Manzana 23, casa 225. Barrio Padre Ricciardelli",Mixto de 45 Días a 3 Años,Flores,Comuna 7,POINT (-58.44218000000001 -34.649280000000005)
1971,Pasitos curiosos,,,,"Walsh, Rodolfo y Perette, Carlos H.",Sara Beatriz Fernández 531,Sin Información,Retiro,Comuna 1,POINT (-58.37850800000001 -34.58532699999999)
