id;fna;gna;nam;aso;dir;bar;com;tel;email;web;fab;twr;ins;sag;geometry
104;Estadio Microestadio Luis Conde;Estadio;Microestadio Luis Conde;Club Atletico Boca Juniors;Arzobispo Espinosa 600;Boca;4;5777-1200;;http://www.bocajuniors.com.ar/;https://www.facebook.com/bocajuniors;;;Secretaría de Deportes;POINT (28936.087938717992 69689.17183631253)
106;Estadio Juan Pasquale;Estadio;Juan Pasquale;Club Atletico Defensores de Belgrano;Rivadavia Martin, Comodoro 1450;Nuñez;13;4702-8967;info@defeweb.com.ar - institucional@defeweb.com.ar;http://www.defeweb.com.ar/;https://www.facebook.com/pages/defensores-de-belgrano/181270058574986;;Natatorio - Cancha de Fútbol - Salon;Secretaría de Deportes;POINT (20139.05957674076 79862.66525075871)
113;Estadio Microestadio River Plate;Estadio;Microestadio River Plate;Club Atletico River Plate;Figueroa Alcorta, Pres. Av. 7597;Belgrano;13;4789 1200;;http://www.cariverplate.com.ar/;https://www.facebook.com/riverplateoficial;;;Secretaría de Deportes;POINT (21346.52558307781 79189.54627330636)
114;Estadio Monumental Antonio Vespucio Liberti;Estadio;Monumental Antonio Vespucio Liberti;Club Atletico River Plate;Figueroa Alcorta, Pres. Av. 7597;Belgrano;13;(54 11) 4789 1200;club@cariverplate.com.ar;http://www.cariverplate.com.ar/;https://www.facebook.com/riverplateoficial;;;Secretaría de Deportes;POINT (21277.864866538723 79179.89127670175)
115;Estadio Pedro Bidegain;Estadio;Pedro Bidegain;Club Atletico San Lorenzo de Almagro;Varela Av. y Moreno, Perito Av.;Flores;7;4016-2600;;http://www.sanlorenzo.com.ar/;https://www.facebook.com/sanlorenzo;;;Secretaría de Deportes;POINT (22116.427251623467 67473.85114706572)
119;Estadio José Amalfitani;Estadio;José Amalfitani;Club Atletico Velez Sarsfield;Justo, Juan B. Av. 9200;Liniers;9;(54-11) 4641-5653/5763/4014;velezsocios@velezsarsfield.com.ar;http://www.velezsarsfield.com.ar/;https://www.facebook.com/velezsarsfield;;Estadio Amalfitani con Capacidad 49.540 Espectadores. Salón Bajo Oeste: Gimnasio de 35 X 15 M. Pileta de Natación: Invierno: Pileta C/Globo. Verano: Pileta Olímpica (50 X 25 M) y Pileta de 25 X 16 M, Terraza Solarium,Solarium Parquizado y confitería;Secretaría de Deportes;POINT (14855.107148597028 69489.80218575538)
124;Estadio Alfredo Ramos;Estadio;Alfredo Ramos;Club Comunicaciones;Cortazar, Julio y Tinogasta;Agronomia;15;4504-5454;;http://www.clubcomunicaciones.com.ar/;https://www.facebook.com/clubcomunicacionesoficial;;;Secretaría de Deportes;POINT (17692.94374175124 73896.28521525688)
135;Estadio Nueva España;Estadio;Nueva España;Club Deportivo Español;Santiago De Compostela Av. 3801;Parque Avellaneda;9;4619-1515/1516;;http://www.cde.com.ar/;https://www.facebook.com/pages/club-deportivo-espa%c3%b1ol-oficial/165965500136401?fref=ts;;;Secretaría de Deportes;POINT (19888.43115753685 66827.34654684854)
139;Estadio Hector Etchart;Estadio;Hector Etchart;Club Ferrocarril Oeste;Avellaneda Av. 1240;Caballito;6;4431-8282;;http://www.ferrocarriloeste.org.ar/;https://www.facebook.com/ferrooficial;;;Secretaría de Deportes;POINT (21327.243909479468 71191.99217691625)
140;Estadio Arquitecto Ricardo Etcheverri;Estadio;Arquitecto Ricardo Etcheverri;Club Ferrocarril Oeste;Avellaneda Av. 1240;Caballito;6;4431-8282;;http://www.ferrocarriloeste.org.ar/;https://www.facebook.com/ferrooficial;;;Secretaría de Deportes;POINT (21432.5031764719 71185.04748520025)
142;Estadio Geba Jorge Newbery;Estadio;Geba Jorge Newbery;Club Gimnasia y Esgrima de Buenos Aires (GEBA);Freyre, Marcelino E., Cnel. Av. 3831;Palermo;14;4382-0031/34;info@geba.org.ar;http://www.portaldegeba.com/;https://www.facebook.com/clubdegimnasiayesgrima;;6 Canchas de Tenis de Polvo de Ladrillo - 1 Frontón - 1 Cancha de Basquet de Cemento Apta Además para Fútbol 5 - 1 Cancha de Basquet de Polvo de Ladrillo - 1 Playón Multiuso / Cancha Sintético de Mini Fútbol - 1 Estadio con Capaciad para 12.000 Esp;Secretaría de Deportes;POINT (23930.35944898641 76712.39272956992)
207;Estadio Coliseo del Bajo Belgrano;Estadio;Coliseo del Bajo Belgrano;Club Atlético Excursionistas;La Pampa 1376;Belgrano;13;4788-8007;;http://www.excursionistas.org.ar/;https://www.facebook.com/excursiooficial;;Natatorios;Secretaría de Deportes;POINT (21793.60653108266 77806.9541761854)
216;Estadio Enrique Sexto;Estadio;Enrique Sexto;Club Atlético General Lamadrid;Desaguadero 3120;Villa Devoto;11;4567-6239;caglamadrid@caglamadrid.com.ar;http://www.lamadrid.org.ar/;https://www.facebook.com/prensalamadrid;;4 Canchas - 1 Natatorio - 3 Salones;Secretaría de Deportes;POINT (15276.726136024456 71804.25868351707)
241;Estadio Billoch Caride;Estadio;Billoch Caride;Buenos Aires Lawn Tennis Club;Olleros Av. 1510;Palermo;14;4772 0983/ 9227;secretaria@baltc.net;http://www.baltc.net/;https://www.facebook.com/buenosairesltc;;1 Gimnasio-3 Salones-1 Natatorio-1 Cancha de Fútbol para 7 Jugadores - 20 Canchas de Tenis Incluyendo Estadio Central con Capacidad para 4800 Espectadores - Estacionamiento.;Secretaría de Deportes;POINT (22623.67416286996 77420.31586659761)
255;Estadio República de Mataderos;Estadio;República de Mataderos;Club Atlético Nueva Chicago;Suarez, Justo Antonio 6900;Mataderos;9;4687-2538;;http://canuevachicago.com.ar;https://www.facebook.com/prensanuevachicago;;Salones, Canchas y Natatorio Climatizado;Secretaría de Deportes;POINT (16609.43151659967 65742.90371019895)
257;Estadio Obras;Estadio;Obras;Club Atlético Obras Sanitarias de la Nación;Del Libertador Av. 7395;Nuñez;13;4702-4655/4702-9467;secretariaclub@clubosn.com.ar;http://www.obrasclub.com.ar/;https://www.facebook.com/clubobras;;Canchas de Tenis - Microestadio - Cancha de Voley - Cancha de Basquet - Gimnasio - Natatorio;Secretaría de Deportes;POINT (20422.7656495861 79311.21917683266)
276;Estadio Guillermo Laza;Estadio;Guillermo Laza;Deportivo Riestra Asociación de Fomento Barrio Colón;Varela Av. y Janer, Ana Maria;Villa Soldati;8;4921-7657 / 4918-0455;mundoriestra@hotmail.com;http://www.mundoriestra.com.ar/;https://www.facebook.com/deportivoriestra;;Salones - Canchas;Secretaría de Deportes;POINT (21946.99357118489 67367.48755566988)
279;"Estadio ""Beto"" Larrosa";Estadio;"""Beto"" Larrosa";Sacachispas Fútbol Club;Lacarra Av. 3147;Villa Soldati;8;4919-1152;;;https://www.facebook.com/sacachispaspasion;;;Secretaría de Deportes;POINT (21045.99666225243 66083.49755010888)
