long,lat,id,programa,actividad,sede,horario,telefono,email,web,facebook,twitter,observacio,objeto,calle_nomb,calle_altu,cruce,barrio,comuna,codigo_pos,codigo_p_1,geometry
-58.37882922392603,-34.58258627687276,22,Núcleos BA,Básquet - Defensa Personal - Fútbol - Hockey - Tenis - Vóley,Barrio 31,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Perette, Carlos H.",,Chañar,Retiro,Comuna 1,,,POINT (-58.37882922392603 -34.58258627687276)
-58.47342085894388,-34.658137053111744,27,Núcleos BA,Fútbol Femenino - Fútbol Masculino - Gimnasia Femenina - Hockey,Barrio Cildañez,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,White,,Zuviria,Parque Avellaneda,Comuna 9,,,POINT (-58.47342085894388 -34.658137053111744)
-58.45356304759805,-34.65831887849567,34,Núcleos BA,Boxeo - Fútbol,Barrio Fátima,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Riestra Av.,,Martinez Castro,Villa Soldati,Comuna 8,,,POINT (-58.45356304759805 -34.65831887849567)
-58.48846448855556,-34.68383304528113,35,Núcleos BA,Gimnasia Adultos,Barrio Inta,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Paz, Gral. Av.",,Los Robles,Villa Lugano,Comuna 8,,,POINT (-58.48846448855556 -34.68383304528113)
-58.452490068110116,-34.65726006251393,36,Núcleos BA,Fútbol,Barrio Los Pinos,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Riestra Av.,,"Acosta, Mariano",Villa Soldati,Comuna 8,,,POINT (-58.452490068110116 -34.65726006251393)
-58.48459812311749,-34.548927223755996,23,Núcleos BA,Hockey - Preparación Física - Rugby,Barrio Mitre,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Melian Av.,4400,,Saavedra,Comuna 12,,,POINT (-58.48459812311749 -34.548927223755996)
-58.47106567871678,-34.662792968929175,37,Núcleos BA,Iniciación Deportiva,Barrio Nágera,Martes de 18:00 a 19:00 hs // Jueves de 18:00 a 19:00 hs,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Dellepiane, Luis, Tte. Gral.",,Escalada Av.,Villa Lugano,Comuna 8,,,POINT (-58.47106567871678 -34.662792968929175)
-58.49516460396403,-34.676448080343874,24,Núcleos BA,Fútbol - Gimnasia Rítmica - Hockey,Barrio Pirelli,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Suarez, Jose Leon",3777,,Villa Lugano,Comuna 8,,,POINT (-58.49516460396403 -34.676448080343874)
-58.44323228099214,-34.66534413160755,42,Núcleos BA,Fútbol - Hockey,Barrio Soldati,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Acosta, Mariano",,Corrales,Villa Soldati,Comuna 8,,,POINT (-58.44323228099214 -34.66534413160755)
-58.39543142482368,-34.65150774022391,43,Núcleos BA,Hockey,Barrio Zavaleta,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Iriarte, Gral. Av.",,Luna,Barracas,Comuna 4,,,POINT (-58.39543142482368 -34.65150774022391)
-58.43512100543491,-34.55507319908797,17,Campo de Golf,Golf,Campo de Golf,Domingo de 07:30 a 17:00 hs // Viernes de 07:30 a 17:00 hs // Martes de 07:30 a 17:00 hs // Jueves de 07:30 a 17:00 hs // Miércoles de 07:30 a 17:00 hs // Sábado de 07:30 a 17:00 hs // Feriados de 07:30 a 17:00 hs,4772-7261 / 4772-7576 / 4777-4621 / Reservas 4774-9158,,www.campogolfpalermo.com,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Tornquist, Ernesto Av.",6397,,Palermo,Comuna 14,,,POINT (-58.43512100543491 -34.55507319908797)
-58.43762343840741,-34.607708243212585,48,Plazas Activas,Acondicionamiento Físico - Aerolocal - Gimnasia - Gym Local - Newcom - Ritmos Latinos,Centenario,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Marechal, Leopoldo",,Franklin,Caballito,Comuna 6,,,POINT (-58.43762343840741 -34.607708243212585)
-58.46312645939648,-34.688301559280916,26,Núcleos BA,Fútbol Femenino,Centro Cultural Saladiyo,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Beron De Astrada,5920,,Villa Lugano,Comuna 8,,,POINT (-58.46312645939648 -34.688301559280916)
-58.445878271063,-34.63665401686971,2,BA Corre,Acondicionamiento Físico - Caminata - Running,Chacabuco,Viernes de 19:00 a 21:00 hs // Lunes de 19:00 a 21:00 hs // Lunes de 19:00 a 21:00 hs // Miércoles de 19:00 a 21:00 hs // Viernes de 19:00 a 21:00 hs // Lunes de 19:00 a 21:00 hs // Viernes de 19:00 a 21:00 hs // Miércoles de 19:00 a 21:00 hs // Miérc,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Asamblea Av.,,Curapaligue Av.,Parque Chacabuco,Comuna 7,,,POINT (-58.445878271063 -34.63665401686971)
-58.44462286277523,-34.6330462767968,13,BA Discapacidad,Colonia de Vacaciones - Iniciación Deportiva,Chacabuco,Sábado de 10:00 a 17:00 hs // Sábado de 10:00 a 17:00 hs,,deportesdiscapacidad@buenosaires.gob.ar,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Peron, Eva Av.",1410,,Parque Chacabuco,Comuna 7,,,POINT (-58.44462286277523 -34.6330462767968)
-58.438859524544156,-34.63525328926126,49,Plazas Activas,Acondicionamiento Físico - Aerolocal - Gimnasia Correctiva - Ritmos - Stretching,Chacabuco,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Asamblea Av.,,"Mitre, Emilio",Parque Chacabuco,Comuna 7,,,POINT (-58.438859524544156 -34.63525328926126)
-58.520360056542565,-34.62886333952067,50,Plazas Activas,Acondicionamiento Físico - Aerolocal - Cardio Gym - Gym Total - Stretching,Ciudad Banff,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Lisboa,,Lascano,Versalles,Comuna 10,,,POINT (-58.520360056542565 -34.62886333952067)
-58.433985760183226,-34.64963929065955,28,Núcleos BA,Actividades Adaptadas - Hándball - Hockey - Natación - Vóley,Club Atlético Madres del Pueblo (1-11-14),,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Torres Y Tenorio, Pres.",,"Barros Pazos, Jose",Flores,Comuna 7,,,POINT (-58.433985760183226 -34.64963929065955)
-58.46425322004324,-34.68466017917682,29,Núcleos BA,Hockey,Club de Jóvenes,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Soldado De La Frontera Av.,5130,,Villa Lugano,Comuna 8,,,POINT (-58.46425322004324 -34.68466017917682)
-58.47711752368211,-34.66104214984817,30,Núcleos BA,Fútbol - Patín,Club Torino,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Zuviria,4663,,Villa Lugano,Comuna 8,,,POINT (-58.47711752368211 -34.66104214984817)
-58.48185711912938,-34.68394693582666,31,Núcleos BA,Natación,Club Yupanqui,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Guamini,4501,,Villa Lugano,Comuna 8,,,POINT (-58.48185711912938 -34.68394693582666)
-58.37443495846667,-34.637666810078485,51,Plazas Activas,Gym Local - Ritmos,Colombia,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Brandsen,,"Montes De Oca, Manuel Av.",Barracas,Comuna 4,,,POINT (-58.37443495846667 -34.637666810078485)
-58.43469557477467,-34.65042239695131,32,Núcleos BA,Hockey - Iniciación Deportiva - Natación - Patín,Corredera Perito Moreno,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Moreno, Perito Av.",,"Torres Y Tenorio, Pres.",Flores,Comuna 7,,,POINT (-58.43469557477467 -34.65042239695131)
-58.35808651245322,-34.61715975640293,52,Plazas Activas,Ritmos,Costanera Sur,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Calabria Av.,,"Vera Peñaloza,  Rosario",Puerto Madero,Comuna 1,,,POINT (-58.35808651245322 -34.61715975640293)
-58.39172550813747,-34.58475602437781,3,BA Corre,Entrenamiento Funcional,Derecho,Lunes de 19:00 a 21:00 hs // Miércoles de 19:00 a 21:00 hs // Viernes de 19:00 a 21:00 hs,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Del Libertador Av.,,Pueyrredon Av.,Recoleta,Comuna 2,,,POINT (-58.39172550813747 -34.58475602437781)
-58.44056655942345,-34.648392093864516,33,Núcleos BA,Básquet - Educación Física Infantil - Vóley,Espacio Juan XXIII,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Bonorino, Esteban, Cnel. Av.",,Riestra Av.,Flores,Comuna 7,,,POINT (-58.44056655942345 -34.648392093864516)
-58.36710375500253,-34.63424830687107,53,Plazas Activas,Gym Local - Ritmos,Flora Nativa,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Irala,,"Villafañe, Wenceslao",Boca,Comuna 4,,,POINT (-58.36710375500253 -34.63424830687107)
-58.46684624885634,-34.66477925497305,54,Plazas Activas,Aerolocal,Indoamericano,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Escalada Av.,,Castañares Av.,Villa Soldati,Comuna 8,,,POINT (-58.46684624885634 -34.66477925497305)
-58.45708382613452,-34.61546821796315,55,Plazas Activas,Circuit Training - Eutonia - Gym Local - Ritmos - Stretching,Irlanda,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Neuquen,,"Segui, F. J., Alte.",Caballito,Comuna 6,,,POINT (-58.45708382613452 -34.61546821796315)
-58.525188284938594,-34.61747652160481,56,Plazas Activas,Cardio Local - Local Total,Las Toscaneras - Villa Real,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Moliere,2700,,Villa Real,Comuna 10,,,POINT (-58.525188284938594 -34.61747652160481)
-58.448213400082835,-34.5918741928168,57,Plazas Activas,Gym Local,Los Andes,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Corrientes Av.,,Dorrego Av.,Chacarita,Comuna 15,,,POINT (-58.448213400082835 -34.5918741928168)
-58.4460920827054,-34.67326413239732,4,BA Corre,Acondicionamiento Físico - Caminata - Running,Lugano,Martes de 19:00 a 21:00 hs // Jueves de 19:00 a 21:00 hs // Martes de 19:00 a 21:00 hs // Martes de 19:00 a 21:00 hs // Jueves de 19:00 a 21:00 hs // Jueves de 19:00 a 21:00 hs,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Roca, Cnel. Av.",4000,,Villa Soldati,Comuna 8,,,POINT (-58.4460920827054 -34.67326413239732)
-58.362914195905674,-34.6091830171982,5,BA Corre,Acondicionamiento Físico - Caminata - Running,Madero,Martes de 19:00 a 20:30 hs // Jueves de 19:00 a 20:30 hs // Martes de 19:00 a 20:30 hs // Jueves de 19:00 a 20:30 hs // Jueves de 19:00 a 20:30 hs // Martes de 19:00 a 20:30 hs,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Manso Juana,999,,Puerto Madero,Comuna 1,,,POINT (-58.362914195905674 -34.6091830171982)
-58.4085061341957,-34.62619786221348,14,BA Discapacidad,Colonia de Vacaciones - Iniciación Deportiva - Natación,Martin Fierro,Jueves de 15:00 a 18:30 hs // Martes de 15:00 a 18:30 hs // Jueves de 15:00 a 18:30 hs // Sábado de 10:00 a 17:00 hs // Martes de 15:00 a 18:30 hs // Sábado de 10:00 a 17:00 hs // Sábado de 10:00 a 17:00 hs // Martes de 15:00 a 18:30 hs // Jueves de 1,,deportesdiscapacidad@buenosaires.gob.ar,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Oruro,1300,,San Cristobal,Comuna 3,,,POINT (-58.4085061341957 -34.62619786221348)
-58.502116618735776,-34.59088606794238,58,Plazas Activas,Gimnasia - Stretching,Martín Rodriguez,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Helguera,,Habana,Villa Pueyrredon,Comuna 12,,,POINT (-58.502116618735776 -34.59088606794238)
-58.50598009592102,-34.56520462035058,59,Plazas Activas,Acondicionamiento Físico - Aerolocal - Gimnasia - Ritmos - Stretching,Mujica,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Aizpurua,,"Pellegrini, Carlos E.",Saavedra,Comuna 12,,,POINT (-58.50598009592102 -34.56520462035058)
-58.43546561479579,-34.55583427335778,60,Plazas Activas,Gym Local - Stretching,Palermo Golf,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Tornquist, Ernesto Av.",6397,,Palermo,Comuna 14,,,POINT (-58.43546561479579 -34.55583427335778)
-58.43538945282749,-34.555267170340116,6,BA Corre,Acondicionamiento Físico - Caminata - Running,Palermo/Golf,Martes de 08:00 a 10:00 hs // Jueves de 08:00 a 10:00 hs // Martes de 08:00 a 10:00 hs // Jueves de 08:00 a 10:00 hs // Martes de 08:00 a 10:00 hs // Jueves de 08:00 a 10:00 hs,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Bello, Andres",,"Tornquist, Ernesto Av.",Palermo,Comuna 14,,,POINT (-58.43538945282749 -34.555267170340116)
-58.436250304273585,-34.60851094085718,7,BA Corre,Acondicionamiento Físico - Caminata - Running,Parque Centenario,Miércoles de 08:00 a 10:00 hs // Viernes de 08:00 a 10:00 hs // Jueves de 19:00 a 21:00 hs // Martes de 19:00 a 21:00 hs // Miércoles de 08:00 a 10:00 hs // Jueves de 19:00 a 21:00 hs // Martes de 19:00 a 21:00 hs // Viernes de 08:00 a 10:00 hs // Vier,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Campichuelo,,Diaz Velez Av.,Caballito,Comuna 6,,,POINT (-58.436250304273585 -34.60851094085718)
-58.44475792157911,-34.63335159096739,18,Escuela de Guardavidas,Curso de Guardavida,Parque Chacabuco,,4921- 5776,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Peron, Eva Av.",1410,,Parque Chacabuco,Comuna 7,,,POINT (-58.44475792157911 -34.63335159096739)
-58.44476269009785,-34.63290590599625,85,Polos Deportivos,Bádminton,Parque Chacabuco,Jueves de 18:30 a 19:30 hs // Sábado de 15:00 a 18:00 hs,4010-0300,prensadeportesciudad@gmail.com,http://www.buenosaires.gob.ar/vicejefatura/deportes,facebook.com/deportesba,twitter.com/deportesba,,PROGRAMAS DEPORTIVOS,"Peron, Eva Av.",1410,,Parque Chacabuco,Comuna 7,,,POINT (-58.44476269009785 -34.63290590599625)
-58.44476269009785,-34.63290590599625,83,Polos Deportivos,Gimnasia Deportiva,Parque Chacabuco,Viernes de 17:30 a 20:30 hs // Martes de 17:30 a 20:30 hs // Miércoles de 17:30 a 20:30 hs // Sábado de 16:00 a 21:00 hs // Jueves de 17:30 a 20:30 hs,4010-0300,prensadeportesciudad@gmail.com,http://www.buenosaires.gob.ar/vicejefatura/deportes,facebook.com/deportesba,twitter.com/deportesba,,PROGRAMAS DEPORTIVOS,"Peron, Eva Av.",1410,,Parque Chacabuco,Comuna 7,,,POINT (-58.44476269009785 -34.63290590599625)
-58.44476269009785,-34.63290590599625,84,Polos Deportivos,Boxeo,Parque Chacabuco,Viernes de 16:00 a 18:00 hs // Lunes de 18:30 a 20:30 hs // Miércoles de 18:30 a 20:30 hs,4010-0300,prensadeportesciudad@gmail.com,http://www.buenosaires.gob.ar/vicejefatura/deportes,facebook.com/deportesba,twitter.com/deportesba,,PROGRAMAS DEPORTIVOS,"Peron, Eva Av.",1410,,Parque Chacabuco,Comuna 7,,,POINT (-58.44476269009785 -34.63290590599625)
-58.37069993434969,-34.62560686247054,61,Plazas Activas,Danzas Circulares - Gym Local - Ritmos - Yoga,Parque Lezama,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Defensa,,Brasil,San Telmo,Comuna 1,,,POINT (-58.37069993434969 -34.62560686247054)
-58.402092436828084,-34.572731100480404,68,Polideportivos,Ciclismo - Ciclismo Adaptado - Complemento de Pesas - Entrenamiento Funcional - Fútbol - Gimnasia Adultos - Hockey - Patín Carrera - Taekwondo - Tenis - Vóley,Parque Manuel Belgrano (Ex-Kdt),,4807-7700,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Salguero, Jeronimo",3450,,Palermo,Comuna 14,,,POINT (-58.402092436828084 -34.572731100480404)
-58.432864039941514,-34.616702759962656,62,Plazas Activas,Full Local - Gym Local - Ritmos,Parque Rivadavia,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Rivadavia Av.,,Campichuelo,Caballito,Comuna 6,,,POINT (-58.432864039941514 -34.616702759962656)
-58.47740242884635,-34.55031016103607,8,BA Corre,Acondicionamiento Físico - Caminata - Running,Parque Saavedra,Martes de 19:00 a 21:00 hs // Martes de 19:00 a 21:00 hs // Jueves de 19:00 a 21:00 hs // Martes de 19:00 a 21:00 hs // Jueves de 19:00 a 21:00 hs // Jueves de 19:00 a 21:00 hs,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Garcia Del Rio,,Pinto,Saavedra,Comuna 12,,,POINT (-58.47740242884635 -34.55031016103607)
-58.49830096699435,-34.553320059476675,70,Polideportivos,Atletismo - Bádminton - Entrenamiento Funcional - Fútbol - Gimnasia Artística Femenina - Gimnasio - Judo - Levantamiento de Pesas - Lucha - Newcom - Taekwondo - Tenis - Yoga,Parque Sarmiento,,4547-0882,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Balbin, Ricardo, Dr. Av.",4750,,Saavedra,Comuna 12,,,POINT (-58.49830096699435 -34.553320059476675)
-58.40561132486957,-34.637120567938176,63,Plazas Activas,Danzas Circulares - Gym Local - Ritmos - Yoga,Patricios,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Caseros Av.,,Monteagudo,Parque Patricios,Comuna 4,,,POINT (-58.40561132486957 -34.637120567938176)
-58.51326475276207,-34.59915375242329,9,BA Corre,Acondicionamiento Físico - Caminata - Running,Plaza Arenales,Martes de 19:00 a 21:00 hs // Jueves de 19:00 a 21:00 hs // Jueves de 19:00 a 21:00 hs // Jueves de 19:00 a 21:00 hs // Martes de 19:00 a 21:00 hs // Martes de 19:00 a 21:00 hs,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Pareja,,Mercedes,Villa Devoto,Comuna 11,,,POINT (-58.51326475276207 -34.59915375242329)
-58.46526139232406,-34.69032685181514,39,Núcleos BA,Entrenamiento Funcional - Hockey,Plaza de la Democracia,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"De La Torre, Lisandro",,Beron De Astrada,Villa Lugano,Comuna 8,,,POINT (-58.46526139232406 -34.69032685181514)
-58.39749605534532,-34.598663443158166,10,BA Corre,Acondicionamiento Físico - Caminata - Running,Plaza Houssay,Martes de 09:00 a 20:30 hs // Jueves de 19:00 a 20:30 hs // Martes de 09:00 a 20:30 hs // Jueves de 19:00 a 20:30 hs // Martes de 09:00 a 20:30 hs // Jueves de 19:00 a 20:30 hs,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Paraguay,,Junin,Recoleta,Comuna 2,,,POINT (-58.39749605534532 -34.598663443158166)
