long,lat,objectid,clave_vere,numero_ord,clave_vado,origendato
-58.5149178655112,-34.62967873281,70786,091-052-007-9018-1,1,091-052-007-9018-1-1,VueloFotogrametrico
-58.5154217151299,-34.6301525336939,70787,091-052-012-19092-1,1,091-052-012-19092-1-1,VueloFotogrametrico
-58.5154097003574,-34.630101953489,70788,091-052-012-19092-1,2,091-052-012-19092-1-2,VueloFotogrametrico
-58.5146407316442,-34.6307321744293,70789,091-052-018-13088-1,1,091-052-018-13088-1-1,VueloFotogrametrico
-58.5146972022662,-34.6307282762834,70790,091-052-018-13088-1,2,091-052-018-13088-1-2,VueloFotogrametrico
-58.5150157447311,-34.6295860647065,70791,091-053-001-1035-1,1,091-053-001-1035-1-1,VueloFotogrametrico
-58.515607287201,-34.6291294211888,70792,091-053-006-1056-1,1,091-053-006-1056-1-1,VueloFotogrametrico
-58.5156401284393,-34.6291262129092,70793,091-053-006-1056-1,2,091-053-006-1056-1-2,VueloFotogrametrico
-58.5162544334172,-34.6294949230044,70794,091-053-010-1056-1,1,091-053-010-1056-1-1,VueloFotogrametrico
-58.5162460501964,-34.6294644984442,70795,091-053-010-1056-1,2,091-053-010-1056-1-2,VueloFotogrametrico
-58.5154953143773,-34.6300590531656,70796,091-053-016-19092-1,1,091-053-016-19092-1-1,VueloFotogrametrico
-58.5155761182554,-34.6300509306468,70797,091-053-016-19092-1,2,091-053-016-19092-1-2,VueloFotogrametrico
-58.5137202489111,-34.6334672379853,70798,091-999-999-10018-2,1,091-999-999-10018-2-1,VueloFotogrametrico
-58.5284087014073,-34.6341588649834,70799,093-001B-001A-13009-1,1,093-001B-001A-13009-1-1,VueloFotogrametrico
-58.529147180867,-34.6342265117959,70800,093-001B-005C-13009-1,1,093-001B-005C-13009-1-1,VueloFotogrametrico
-58.5287602382183,-34.6347460719062,70801,093-001B-008B-10018-1,1,093-001B-008B-10018-1-1,VueloFotogrametrico
-58.5283509265088,-34.6347186707079,70802,093-001B-008B-10018-1,2,093-001B-008B-10018-1-2,VueloFotogrametrico
-58.5288242815921,-34.6346976886628,70803,093-001B-008B-10018-1,3,093-001B-008B-10018-1-3,VueloFotogrametrico
-58.5282679654041,-34.6346639591124,70804,093-001B-008B-10018-1,4,093-001B-008B-10018-1-4,VueloFotogrametrico
-58.5284937093092,-34.6331779683364,70805,093-002A-001-3213-1,1,093-002A-001-3213-1-1,VueloFotogrametrico
-58.5285352446971,-34.6331657553564,70806,093-002A-001-3213-1,2,093-002A-001-3213-1-2,VueloFotogrametrico
-58.5293565109995,-34.6332367918744,70807,093-002A-007-1020-1,1,093-002A-007-1020-1-1,VueloFotogrametrico
-58.5292633741974,-34.6341326758402,70808,093-002A-015-17041-1,1,093-002A-015-17041-1-1,VueloFotogrametrico
-58.5284081899057,-34.6340612067374,70809,093-002A-020-3213-1,1,093-002A-020-3213-1-1,VueloFotogrametrico
-58.5283848739865,-34.6340201247793,70810,093-002A-020-3213-1,2,093-002A-020-3213-1-2,VueloFotogrametrico
-58.5285966101143,-34.6324621996224,70811,093-002B-001-3213-1,1,093-002B-001-3213-1-1,VueloFotogrametrico
-58.5294122871096,-34.6326227768637,70812,093-002B-008-17041-1,1,093-002B-008-17041-1-1,VueloFotogrametrico
-58.5293858113807,-34.6331432174367,70813,093-002B-013-17041-1,1,093-002B-013-17041-1-1,VueloFotogrametrico
-58.5294149825252,-34.6330570224385,70814,093-002B-013-17041-1,2,093-002B-013-17041-1-2,VueloFotogrametrico
-58.5285448472846,-34.6330801825154,70815,093-002B-019-3213-1,1,093-002B-019-3213-1-1,VueloFotogrametrico
-58.528513034408,-34.6330451063735,70816,093-002B-019-3213-1,2,093-002B-019-3213-1-2,VueloFotogrametrico
-58.5286785924263,-34.631706398944,70817,093-003A-001-3213-1,1,093-003A-001-3213-1-1,VueloFotogrametrico
-58.5287033981721,-34.6316979156533,70818,093-003A-001-3213-1,2,093-003A-001-3213-1-2,VueloFotogrametrico
-58.5294711996289,-34.6318557182379,70819,093-003A-007-1145-1,1,093-003A-007-1145-1-1,VueloFotogrametrico
-58.5294285605614,-34.6325083885772,70820,093-003A-014-17041-1,1,093-003A-014-17041-1-1,VueloFotogrametrico
-58.5285991105479,-34.6323540221935,70821,093-003A-020-7021-1,1,093-003A-020-7021-1-1,VueloFotogrametrico
-58.5285804184172,-34.6323010272716,70822,093-003A-020-7021-1,2,093-003A-020-7021-1-2,VueloFotogrametrico
-58.5287743221296,-34.6309423905835,70823,093-003B-001A-3213-1,1,093-003B-001A-3213-1-1,VueloFotogrametrico
-58.5294852709314,-34.631097444846,70824,093-003B-007-17041-1,1,093-003B-007-17041-1-1,VueloFotogrametrico
-58.5294820829732,-34.6317638685359,70825,093-003B-011-17041-1,1,093-003B-011-17041-1-1,VueloFotogrametrico
-58.5286995189892,-34.6316093328077,70826,093-003B-017-3213-1,1,093-003B-017-3213-1-1,VueloFotogrametrico
-58.5286686658883,-34.631567356871,70827,093-003B-017-3213-1,2,093-003B-017-3213-1-2,VueloFotogrametrico
-58.529634816831,-34.6291172407182,70828,093-004-009-17041-1,1,093-004-009-17041-1-1,VueloFotogrametrico
-58.5296022291693,-34.6291004210151,70829,093-004-009-17041-1,2,093-004-009-17041-1-2,VueloFotogrametrico
-58.5295035671223,-34.6309731446224,70830,093-004-029-17041-1,1,093-004-029-17041-1-1,VueloFotogrametrico
-58.5287652180483,-34.6308283983321,70831,093-004-035-12071-1,1,093-004-035-12071-1-1,VueloFotogrametrico
-58.5288352587181,-34.6300854459521,70832,093-004-043-3213-1,1,093-004-043-3213-1-1,VueloFotogrametrico
-58.5270407243595,-34.6340798980217,70833,093-006-001A-7022-1,1,093-006-001A-7022-1-1,VueloFotogrametrico
-58.5270862270008,-34.6340549480805,70834,093-006-001A-7022-1,2,093-006-001A-7022-1-2,VueloFotogrametrico
-58.5282412456716,-34.634183284577,70835,093-006-008G-13009-1,1,093-006-008G-13009-1-1,VueloFotogrametrico
-58.5282093442257,-34.6341419105862,70836,093-006-008G-13009-1,2,093-006-008G-13009-1-2,VueloFotogrametrico
-58.3780440206907,-34.6033487443087,73439,001-013-016A-5072-1,2,001-013-016A-5072-1-2,VueloFotogrametrico
-58.3767112409594,-34.6033285634686,73440,001-013-024A-3174-1,1,001-013-024A-3174-1-1,VueloFotogrametrico
-58.3766996226497,-34.6032733215206,73441,001-013-024A-3174-1,2,001-013-024A-3174-1-2,VueloFotogrametrico
-58.3767898913317,-34.6011966285246,73442,001-014-001-13014-1,1,001-014-001-13014-1-1,VueloFotogrametrico
