id,long,lat,nombre,calle,altura,piso_depto,telefonos,web,e_mail,barrio,comuna,codigo_pos,codigo_p_1,geometry
110,-58.370651087977855,-34.59581803895525,Mónaco,"MADERO, EDUARDO AV.",1020,Piso 5º,"4312-7526, 4315-4721",,,Retiro,Comuna 1,,,POINT (-58.370651087977855 -34.59581803895525)
116,-58.3814814951909,-34.59121705933977,Nueva Zelanda,"PELLEGRINI, CARLOS",1427,Piso 5º,4328-0747,,,Retiro,Comuna 1,,,POINT (-58.3814814951909 -34.59121705933977)
121,-58.37170277075568,-34.60080914347286,Panamá,TUCUMAN,326,2° piso 1er cuer,4315-6444,,,San Nicolas,Comuna 1,,,POINT (-58.37170277075568 -34.60080914347286)
136,-58.3789760993751,-34.59522183969071,República Dominicana,SANTA FE AV.,830,Piso 7º,"4312-8562, 4894-2080",,,Retiro,Comuna 1,,,POINT (-58.3789760993751 -34.59522183969071)
143,-58.388096724245386,-34.59957469015484,San Marino,PARANA,791,"Piso 6º ""B""","4374-9057, 4371-6949",,,San Nicolas,Comuna 1,,,POINT (-58.388096724245386 -34.59957469015484)
148,-58.38315489695227,-34.600316085935056,Singapur,VIAMONTE,1145,7° piso,4372-6133,,,San Nicolas,Comuna 1,,,POINT (-58.38315489695227 -34.600316085935056)
151,-58.383163699225015,-34.60023135803758,Sri Lanka,VIAMONTE,1145,Piso 7º,4372-6133,,,San Nicolas,Comuna 1,,,POINT (-58.383163699225015 -34.60023135803758)
154,-58.37918421228288,-34.609991022688696,Suecia,TACUARI,147,Piso 6º,4342-1422,,,Monserrat,Comuna 1,,,POINT (-58.37918421228288 -34.609991022688696)
85,-58.388130867281596,-34.59886727848133,Islandia,PARANA,843,,4793-1282,,"gorancinco@fibertel.com.ar,",Recoleta,Comuna 2,,,POINT (-58.388130867281596 -34.59886727848133)
1,-58.38550137831751,-34.58695110628544,Albania,DEL LIBERTADOR AV.,946,Piso 4°,4812-8366,,"ambasada.bue@fibertel.com.ar,",Recoleta,Comuna 2,,,POINT (-58.38550137831751 -34.58695110628544)
54,-58.38963114308469,-34.590335723298324,España,GUIDO,1770,,4814-9100,http://www.mae.es/consulados/buenosaires,"consulado.buenosaires@correo.mae.es,",Recoleta,Comuna 2,,,POINT (-58.38963114308469 -34.590335723298324)
63,-58.394929553144074,-34.58553729466666,Gran Bretaña,"AGOTE, LUIS DR.",2412,,"4803-7070, 4803-7071",,,Recoleta,Comuna 2,,,POINT (-58.394929553144074 -34.58553729466666)
149,-58.39322726159507,-34.59796539713926,Siria,CALLAO AV.,956,,4813-2113,,,Recoleta,Comuna 2,,,POINT (-58.39322726159507 -34.59796539713926)
43,-58.390544007555775,-34.58779205990043,Ecuador,"QUINTANA, MANUEL, PRES. AV.",585,Piso 10,4804-6408,,"consuldorbaiec@embecuador.com.ar,",Recoleta,Comuna 2,,,POINT (-58.390544007555775 -34.58779205990043)
131,-58.3954051628255,-34.59135621459492,República Checa,JUNIN,1461,,4807-3107,http://www.mzv.cz/buenosaires/,"buenosaires@embassy.mzv.cz,",Recoleta,Comuna 2,,,POINT (-58.3954051628255 -34.59135621459492)
65,-58.391726315896314,-34.594905145019936,Grecia,ARENALES,1685,,4811-4811,,"grcon.bay@mfa.gr,",Recoleta,Comuna 2,,,POINT (-58.391726315896314 -34.594905145019936)
146,-58.39197639542414,-34.59717591398263,Serbia,"ALVEAR, MARCELO T. DE",1705,,"4811-2860, 4812-9133, 4813-3445, 4813-3446",,"yuembaires@ciudad.com.ar,",Recoleta,Comuna 2,,,POINT (-58.39197639542414 -34.59717591398263)
165,-58.393028422891,-34.59072991634917,Uruguay,LAS HERAS GENERAL AV.,1907,Piso 4º,"4807-3045, 4807-3040",,"conuruarge@embajadadeluruguay.com.ar,",Recoleta,Comuna 2,,,POINT (-58.393028422891 -34.59072991634917)
74,-58.391528850906916,-34.591306574046634,Honduras,CALLAO AV.,1546,Piso 2 Dto. A,"4803-0077, 4803-1769",,,Recoleta,Comuna 2,,,POINT (-58.391528850906916 -34.591306574046634)
113,-58.39398392308262,-34.595758975016324,Nicaragua,SANTA FE AV.,1845,7°A,4811-0973,,,Recoleta,Comuna 2,,,POINT (-58.39398392308262 -34.595758975016324)
68,-58.39799149170854,-34.59539148582402,Guinea Ecuatorial,SANTA FE AV.,2161,9° piso,4824-7408,,,Recoleta,Comuna 2,,,POINT (-58.39799149170854 -34.59539148582402)
140,-58.388578133117164,-34.5910818213195,Rusia,GUIDO,1677,,4812-1794,,,Recoleta,Comuna 2,,,POINT (-58.388578133117164 -34.5910818213195)
123,-58.39362639377598,-34.60081065652901,Paraguay,VIAMONTE,1851,,"4812-0075, 4814-4803",,,Balvanera,Comuna 3,,,POINT (-58.39362639377598 -34.60081065652901)
20,-58.39308878506698,-34.61162850295386,Bolivia,"ALSINA, ADOLFO",1886,,"4381-0539, 4381-4171",,"consuladodebolivia@ciudad.com.ar,",Balvanera,Comuna 3,,,POINT (-58.39308878506698 -34.61162850295386)
135,-58.42144539947411,-34.639765102517465,República Democrática del Congo,CASEROS AV.,4039,,4923-9923,,,Boedo,Comuna 5,,,POINT (-58.42144539947411 -34.639765102517465)
12,-58.443647640101204,-34.56423440014304,Australia,VILLANUEVA,,,4779-3550,http://www.imni.gov.au/,"infobaconsular@dfat.gov.au, dima-buenos_aires@dfat.gov.au",Belgrano,Comuna 13,,,POINT (-58.443647640101204 -34.56423440014304)
32,-58.449515334256866,-34.55016074939254,Chipre,"HERNANDEZ, RAFAEL",2766,,4511-7927,,,Belgrano,Comuna 13,,,POINT (-58.449515334256866 -34.55016074939254)
109,-58.450265934439834,-34.56460669978935,México,ARCOS,1650,,"4789-8826, 4789-8827",,,Belgrano,Comuna 13,,,POINT (-58.450265934439834 -34.56460669978935)
25,-58.44678432955255,-34.55907855961132,Bulgaria,"SUCRE, ANTONIO JOSE DE, MCAL.",1568,,,http://www.webs.uol.sinectis.com.ar/embular,"embular@uolsinectis.com.ar,",Belgrano,Comuna 13,,,POINT (-58.44678432955255 -34.55907855961132)
168,-58.447457392908476,-34.5650166877666,Venezuela,"LORETO, VIRREY",2035,,4788-4944,http://www.la-embajada.com.ar/,"embaven@arnet.com.ar,",Belgrano,Comuna 13,,,POINT (-58.447457392908476 -34.5650166877666)
39,-58.446374044892174,-34.563099295876185,Cuba,"PINO, VIRREY DEL",1810,,4782-9049,,"argcons3@ecuargentina.minrex.gov.cu,",Belgrano,Comuna 13,,,POINT (-58.446374044892174 -34.563099295876185)
157,-58.45441996670972,-34.562848767757174,Tailandia,VUELTA DE OBLIGADO,1947,Piso 12,"4780-0555, 4783-6412",,"thaiembargen@fibertel.com.ar,",Belgrano,Comuna 13,,,POINT (-58.45441996670972 -34.562848767757174)
161,-58.4626774273183,-34.57044189202841,Ucrania,CONDE,1769,,"4552-0657, 4552-5334",,,Belgrano,Comuna 13,,,POINT (-58.4626774273183 -34.57044189202841)
169,-58.44590503742739,-34.564973837469,Vietnam,11 DE SEPTIEMBRE DE 1888,1442,,"4783-1802, 4783-1425",,,Belgrano,Comuna 13,,,POINT (-58.44590503742739 -34.564973837469)
35,-58.405327337615496,-34.57922032577759,Corea del Sur,SAN MARTIN DE TOURS,2857,,4806-6796,http://www.embcorea.org.ar/,"argentina@mofat.go.kr,",Palermo,Comuna 14,,,POINT (-58.405327337615496 -34.57922032577759)
81,-58.401743184762125,-34.57863028941582,Irán,"FIGUEROA ALCORTA, PRES. AV.",3229,,"4802-1470, 4802-4821, 4802-6360,",,"embajada@fibertel.com.ar,",Palermo,Comuna 14,,,POINT (-58.401743184762125 -34.57863028941582)
79,-58.39981446186521,-34.57915450732306,Indonesia,"CASTILLA, RAMON, MARISCAL",2901,,"4807-2211, 4807-2956, 4807-3324,",http://www.indonesianembassy.org.ar/,"emindo@tournet.com.ar,",Palermo,Comuna 14,,,POINT (-58.39981446186521 -34.57915450732306)
56,-58.41840044191072,-34.574133984757076,Estados Unidos,"KENNEDY, JOHN FITZGERALD",,,5777-4533,http://www.usembassy.state.gov/buenosaires,,Palermo,Comuna 14,,,POINT (-58.41840044191072 -34.574133984757076)
28,-58.39758757836207,-34.57986260827371,Canadá,TAGLE,2828,,4805-3032,,,Palermo,Comuna 14,,,POINT (-58.39758757836207 -34.57986260827371)
69,-58.4023056549129,-34.57828975991645,Haití,"FIGUEROA ALCORTA, PRES. AV.",3297,,"4807-0211, 4802-5979",,,Palermo,Comuna 14,,,POINT (-58.4023056549129 -34.57828975991645)
95,-58.40524254888391,-34.58028606129243,Líbano,DEL LIBERTADOR AV.,2354,,4802-0466,,,Palermo,Comuna 14,,,POINT (-58.40524254888391 -34.58028606129243)
98,-58.44596702810997,-34.56650307271344,Libia,3 DE FEBRERO,1358,,"4788-3745, 4788-3760",,,Palermo,Comuna 14,,,POINT (-58.44596702810997 -34.56650307271344)
107,-58.39960208045399,-34.578707721661345,Marruecos,"CASTILLA, RAMON, MARISCAL",2952,,"4801-8154, 4801-8157",,,Palermo,Comuna 14,,,POINT (-58.39960208045399 -34.578707721661345)
128,-58.402118596420934,-34.57972185829884,Polonia,"AGUADO, ALEJANDRO M. DE",2870,,"4802-9681, 4802-9682",,,Palermo,Comuna 14,,,POINT (-58.402118596420934 -34.57972185829884)
5,-58.40218225788012,-34.57943998517261,Arabia Saudita,"AGUADO, ALEJANDRO M. DE",2881,,"4802-3375, 4802-4303, 4802-0760,",,"consaudi@dd.com.ar,",Palermo,Comuna 14,,,POINT (-58.40218225788012 -34.57943998517261)
15,-58.40702769314161,-34.580119187623204,Bangladesh,"RUGGIERI, SILVIO L.",2944,Piso 1º,"4804-5279, 4815-2321",,"consuladodebangladesh@yahoo.com.ar,",Palermo,Comuna 14,,,POINT (-58.40702769314161 -34.580119187623204)
14,-58.411663429311986,-34.58298433819355,Austria,FRENCH,3671,,"4802-7195, 4802-1400, 4802-7096,",,"buenos-aires-ob@bmaa.gv.at, embajada@austria.org.ar",Palermo,Comuna 14,,,POINT (-58.411663429311986 -34.58298433819355)
38,-58.440331082998384,-34.56863271873598,Croacia,GOROSTIAGA,2104,,4777-7284,,"consulado@embajadadecroacia.org.ar,",Palermo,Comuna 14,,,POINT (-58.440331082998384 -34.56863271873598)
45,-58.44167178471272,-34.56821218783526,Egipto,OLLEROS,2140,,4899-0300,,"embegypt@fibertel.com.ar,",Palermo,Comuna 14,,,POINT (-58.44167178471272 -34.56821218783526)
49,-58.401594957176655,-34.57896307096764,Eslovaquia,"FIGUEROA ALCORTA, PRES. AV.",3240,,"4801-3910, 4807-9451, 4804-8622,",,"embsl@rcc.com.ar,",Palermo,Comuna 14,,,POINT (-58.401594957176655 -34.57896307096764)
103,-58.44009978368426,-34.56764182140998,Malasia,VILLANUEVA,1040,,"4776-0504, 4776-2553, 4777-8420,",,"mwbaires@ciudad.com.ar,",Palermo,Comuna 14,,,POINT (-58.44009978368426 -34.56764182140998)
119,-58.44086095664513,-34.56910427247887,Pakistán,GOROSTIAGA,2176,,4775-1294,,"parepbaires@sinectis.com.ar,",Palermo,Comuna 14,,,POINT (-58.44086095664513 -34.56910427247887)
111,-58.51040189290581,-34.59813598479464,Mozambique,"CARRIL, SALVADOR MARIA DEL AV.",3815,,4503-9414,,,Villa Devoto,Comuna 11,,,POINT (-58.51040189290581 -34.59813598479464)
57,-58.44236150454237,-34.593559250427575,Estonia,"JUSTO, JUAN B. AV.",2370,,,,"pullisaar@ciudad.com.ar,",Villa Crespo,Comuna 15,,,POINT (-58.44236150454237 -34.593559250427575)
75,-58.47034595042184,-34.57577277422849,Hungría,"PINO, VIRREY DEL",4045,,4555-6862,,,Villa Ortuzar,Comuna 15,,,POINT (-58.47034595042184 -34.57577277422849)
