long,lat,id,nombre,domicilio,piso_depto,calle,altura,telefonos,web,e_mail,barrio,comuna,codigo_pos,codigo_p_1,geometry
-58.380971528950724,-34.59157622631715,139,Rumania,Arroyo962,,ARROYO,962,"4326-5888, 4322-8656",http://www.rumania.org.ar,embarombue@rumania.org.ar,Retiro,Comuna 1,,,POINT (-58.380971528950724 -34.59157622631715)
-58.37517299882115,-34.596275449226596,152,Sudáfrica,"Alvear, Marcelo T. De590",Piso 8º,"ALVEAR, MARCELO T. DE",590,4317-2900,http://www.sudafrica.org.ar/,consular@sudafrica.org.ar,Retiro,Comuna 1,,,POINT (-58.37517299882115 -34.596275449226596)
-58.37896075311659,-34.595306562830636,67,Guatemala,Santa Fe Av.830,Piso 5º,SANTA FE AV.,830,"4313-9160, 4313-9180",,embagua@peoples.com.ar,Retiro,Comuna 1,,,POINT (-58.37896075311659 -34.595306562830636)
-58.37697060304897,-34.5970153418631,130,Portugal,Maipu942,Piso 17,MAIPU,942,"4312-0187, 4312-3524, 4312-3527,",,mebpor@embajadaportugal.org.ar,Retiro,Comuna 1,,,POINT (-58.37697060304897 -34.5970153418631)
-58.386691552266214,-34.59095569783904,144,San Marino,"Quintana, Manuel, Pres.175",Piso 1ªA,"QUINTANA, MANUEL, PRES.",175,4815-9070,,consul-buenosaires@consuladosanmarino.org.ar,Retiro,Comuna 1,,,POINT (-58.386691552266214 -34.59095569783904)
-58.37918421228288,-34.609991022688696,155,Suecia,Tacuari147,Piso 6º,TACUARI,147,4329-0800,,ambassaden.buenos-aires@foreign.ministry.se,Monserrat,Comuna 1,,,POINT (-58.37918421228288 -34.609991022688696)
-58.37931219581404,-34.59525141560181,156,Suiza,Santa Fe Av.846,Piso 12,SANTA FE AV.,846,4311-6491,,vertretung@bue.rep.admin.ch,Retiro,Comuna 1,,,POINT (-58.37931219581404 -34.59525141560181)
-58.37925107885517,-34.59532529019338,51,Eslovenia,Santa Fe Av.846,Piso 6º,SANTA FE AV.,846,"4894-0621, 4312-8418, 4894-0631,",,,Retiro,Comuna 1,,,POINT (-58.37925107885517 -34.59532529019338)
-58.3789760993751,-34.59522183969071,137,República Dominicana,Santa Fe Av.830,Piso 7º,SANTA FE AV.,830,"4312-9378, 4894-2078",,,Retiro,Comuna 1,,,POINT (-58.3789760993751 -34.59522183969071)
-58.39420809185384,-34.591588488055976,9,Armenia,"Pacheco De Melo, Jose Andres1922",,"PACHECO DE MELO, JOSE ANDRES",1922,4816-8710,http://www.armeniaforeignministry.com,armenia@fibertel.com.ar,Recoleta,Comuna 2,,,POINT (-58.39420809185384 -34.591588488055976)
-58.394929553144074,-34.58553729466666,62,Gran Bretaña,"Agote, Luis Dr.2412",,"AGOTE, LUIS DR.",2412,4808-2200,http://www.britain.org.ar/index_sp.html,,Recoleta,Comuna 2,,,POINT (-58.394929553144074 -34.58553729466666)
-58.39937237838203,-34.58541205224594,124,Paraguay,Las Heras General Av.2545,,LAS HERAS GENERAL AV.,2545,"4802-3826, 4802-3432",,,Recoleta,Comuna 2,,,POINT (-58.39937237838203 -34.58541205224594)
-58.39322726159507,-34.59796539713926,150,Siria,Callao Av.956,,CALLAO AV.,956,"4813-2113, 4813-5438",,,Recoleta,Comuna 2,,,POINT (-58.39322726159507 -34.59796539713926)
-58.394643876666954,-34.5978045738316,120,Palestina,Riobamba981,,RIOBAMBA,981,4816-6651,http://www.palestina.int.ar/,embajada@palestina.int.ar,Recoleta,Comuna 2,,,POINT (-58.394643876666954 -34.5978045738316)
-58.398128251035644,-34.58309298743534,125,Perú,Del Libertador Av.1720,,DEL LIBERTADOR AV.,1720,"4802-2000, 4802-2438, 4802-2551,",http://www.embajadadelperu.com.ar,"embperucomercial@arnet.com.ar, ameperu@ciudad.com.ar, agregadurianaval@arnet.com.ar, agarg@ciudad.co",Recoleta,Comuna 2,,,POINT (-58.398128251035644 -34.58309298743534)
-58.387971797015055,-34.59566870568374,122,Panamá,Santa Fe Av.1461,Piso 1º,SANTA FE AV.,1461,"4811-1254, 4814-3655",http://www.embajadadepanama.com.ar/,epar@fibertel.com.ar,Recoleta,Comuna 2,,,POINT (-58.387971797015055 -34.59566870568374)
-58.3954051628255,-34.59135621459492,132,República Checa,Junin1461,,JUNIN,1461,4807-3107,http://www.mfa.cz/buenosaires,buenosaires@embassy.mzv.cz,Recoleta,Comuna 2,,,POINT (-58.3954051628255 -34.59135621459492)
-58.388528684038384,-34.59049500197157,141,Rusia,Rodriguez Peña1741,,RODRIGUEZ PEÑA,1741,"4813-1552, 4813-8039",http://www.argentina.mid.ru/,embrusia@fibertel.com.ar,Recoleta,Comuna 2,,,POINT (-58.388528684038384 -34.59049500197157)
-58.393028422891,-34.59072991634917,166,Uruguay,Las Heras General Av.1907,,LAS HERAS GENERAL AV.,1907,4807-3040,http://www.embadauruguay.com,embarou@impsat1.com.ar,Recoleta,Comuna 2,,,POINT (-58.393028422891 -34.59072991634917)
-58.389275116116686,-34.58952051655127,36,Costa Rica,Callao Av.1769,,CALLAO AV.,1769,"4814-1660, 4815-0072",,embarica@fibertel.com.ar,Recoleta,Comuna 2,,,POINT (-58.389275116116686 -34.58952051655127)
-58.391245940387016,-34.595022448213236,64,Grecia,Arenales1658,,ARENALES,1658,4811-4811,,secretariagr@fibertel.com.ar,Recoleta,Comuna 2,,,POINT (-58.391245940387016 -34.595022448213236)
-58.39145055864747,-34.5912356967849,73,Honduras,Callao Av.1564,2 A.,CALLAO AV.,1564,4806-9914,,embajadadehonduras@fibertel.com.ar,Recoleta,Comuna 2,,,POINT (-58.39145055864747 -34.5912356967849)
-58.38612411231331,-34.58960461586414,145,Santa Sede,Alvear1605,,ALVEAR,1605,"4812-0691, 4813-9697, 4813-9698,",,nunciaturaapostolica@speedy.com.ar,Recoleta,Comuna 2,,,POINT (-58.38612411231331 -34.58960461586414)
-58.39197639542414,-34.59717591398263,147,Serbia,"Alvear, Marcelo T. De1705",,"ALVEAR, MARCELO T. DE",1705,"4811-2860, 4812-9133, 4813-3445,",,serbembaires@ciudad.com.ar,Recoleta,Comuna 2,,,POINT (-58.39197639542414 -34.59717591398263)
-58.39398392308262,-34.595758975016324,112,Nicaragua,Santa Fe Av.1845,Piso 7º,SANTA FE AV.,1845,4811-0973,,embanic@fibertel.com.ar,Recoleta,Comuna 2,,,POINT (-58.39398392308262 -34.595758975016324)
-58.393459747015,-34.591468317599215,164,Unión Europea,Ayacucho1537,,AYACUCHO,1537,4805-3759,,delegation-argentina@ec.europa.eu,Recoleta,Comuna 2,,,POINT (-58.393459747015 -34.591468317599215)
-58.390544007555775,-34.58779205990043,44,Ecuador,"Quintana, Manuel, Pres. Av.585",Piso 9º,"QUINTANA, MANUEL, PRES. AV.",585,"4804-0073, 4806-3464, 4804-0074,",,,Recoleta,Comuna 2,,,POINT (-58.390544007555775 -34.58779205990043)
-58.38683802421985,-34.586362998651055,83,Irlanda,Del Libertador Av.1068,Piso 6,DEL LIBERTADOR AV.,1068,5787-0801,,,Recoleta,Comuna 2,,,POINT (-58.38683802421985 -34.586362998651055)
-58.44382671388413,-34.55349445607097,19,Bielorusia,Cazadores2166,,CAZADORES,2166,"4788-9394, 4778-3343, 4706-2313,",http://www.argentina.belembassy.org,argentina@belembassy.org,Belgrano,Comuna 13,,,POINT (-58.44382671388413 -34.55349445607097)
-58.44678432955255,-34.55907855961132,24,Bulgaria,"Sucre, Antonio Jose De, Mcal.1568",,"SUCRE, ANTONIO JOSE DE, MCAL.",1568,"4781-8644, 4786-6273",http://www.embular.int.ar,embular@uolsinectis.com.ar,Belgrano,Comuna 13,,,POINT (-58.44678432955255 -34.55907855961132)
-58.450596347768226,-34.55188687632028,58,Filipinas,"Quinteros, Lidoro J. Av.1386",,"QUINTEROS, LIDORO J. AV.",1386,"4782-4752, 4807-3883, 4807-3335,",http://www.buenosairespe.com.ar,pheba@fibertel.com.ar,Belgrano,Comuna 13,,,POINT (-58.450596347768226 -34.55188687632028)
-58.46467930253386,-34.571017190905394,4,Angola,La Pampa3452,,LA PAMPA,3452,"4554-8383, 4554-8877",,,Belgrano,Comuna 13,,,POINT (-58.46467930253386 -34.571017190905394)
-58.4602621952883,-34.57030328772963,46,Egipto,"Pino, Virrey Del3140",,"PINO, VIRREY DEL",3140,4553-3311,,,Belgrano,Comuna 13,,,POINT (-58.4602621952883 -34.57030328772963)
-58.44337661281226,-34.55272858982262,100,Lituania,Mendoza1018,,MENDOZA,1018,4788-2153,http://ar.mfa.lt,embajada@lituania.org.ar,Belgrano,Comuna 13,,,POINT (-58.44337661281226 -34.55272858982262)
-58.450265934439834,-34.56460669978935,108,México,Arcos1650,,ARCOS,1650,4118-8800,http://www.embamex.int.ar/,embamexarg@interlink.com.ar,Belgrano,Comuna 13,,,POINT (-58.450265934439834 -34.56460669978935)
-58.4626774273183,-34.57044189202841,162,Ucrania,Conde1763,,CONDE,1763,"4552-0657, 4552-5334",http://www.embucra.com.ar/,embucra@embucra.com.ar,Belgrano,Comuna 13,,,POINT (-58.4626774273183 -34.57044189202841)
-58.446374044892174,-34.563099295876185,40,Cuba,"Pino, Virrey Del1810",,"PINO, VIRREY DEL",1810,"4782-9049, 4782-9049",,"consulado@embacuba.com.ar, argoficemb@ecuargentina.minrex.gov.cu",Belgrano,Comuna 13,,,POINT (-58.446374044892174 -34.563099295876185)
-58.463791424484874,-34.572186145250505,97,Libia,"Pino, Virrey Del3432",,"PINO, VIRREY DEL",3432,"4553-4669, 4553-2321, 4553-2308, 4553-2298",,oficinapopularlibia@hotmail.com,Belgrano,Comuna 13,,,POINT (-58.463791424484874 -34.572186145250505)
-58.461203985577946,-34.568967834482336,99,Liga de los Países Arabes,La Pampa3124,,LA PAMPA,3124,"4554-0456, 4554-0466",,ligarabeargentina@yahoo.com.ar,Belgrano,Comuna 13,,,POINT (-58.461203985577946 -34.568967834482336)
-58.46549110181679,-34.55429268167073,159,Túnez,Ciudad De La Paz3086,,CIUDAD DE LA PAZ,3086,"4544-2618, 4545-5149",,atbuenosaires@infovia.com.ar,Nuñez,Comuna 13,,,POINT (-58.46549110181679 -34.55429268167073)
-58.45584805136758,-34.558119420192185,134,República Democrática del Congo,Arcos2340,2º G,ARCOS,2340,4896-4963 / 2061-8362,,rdcbuenos@hotmail.com,Belgrano,Comuna 13,,,POINT (-58.45584805136758 -34.558119420192185)
-58.45441996670972,-34.562848767757174,158,Tailandia,Vuelta De Obligado1947,12°piso,VUELTA DE OBLIGADO,1947,4780-0555,,thaiembargen@fibertel.com.ar,Belgrano,Comuna 13,,,POINT (-58.45441996670972 -34.562848767757174)
-58.44590503742739,-34.564973837469,170,Vietnam,11 De Septiembre De 18881442,,11 DE SEPTIEMBRE DE 1888,1442,"4783-1802, 4783-1425",,sqvnartn@fibertel.com.ar,Belgrano,Comuna 13,,,POINT (-58.44590503742739 -34.564973837469)
-58.40218225788012,-34.57943998517261,6,Arabia Saudita,"Aguado, Alejandro M. De2881",,"AGUADO, ALEJANDRO M. DE",2881,"4802-0760, 4802-4303",http://www.embajadasaudi.org/,embasaudita@fibertel.com.ar,Palermo,Comuna 14,,,POINT (-58.40218225788012 -34.57943998517261)
-58.44363458868713,-34.564338547156495,11,Australia,Villanueva1400,,VILLANUEVA,1400,"4779-3500, 4779-3550","http://www.argentina.embassy.gov.au,  http://www.immi.gov.au","dima-buenos_aires@dfat.gov.ar, info.ba.general@dfat.gov.au",Palermo,Comuna 14,,,POINT (-58.44363458868713 -34.564338547156495)
-58.411663429311986,-34.58298433819355,13,Austria,French3671,,FRENCH,3671,"4816-0479, 4807-9185","http://www.austria.org.ar,  www.austriantrade.org/ar","buenos-aires-ob@bmaa.gv.at, buenosaires@austriantrade.org",Palermo,Comuna 14,,,POINT (-58.411663429311986 -34.58298433819355)
-58.39758757836207,-34.57986260827371,27,Canadá,Tagle2828,,TAGLE,2828,4808-1000,http://www.buenosaires.gc.ca,bairs-webmail@international.gc.ca,Palermo,Comuna 14,,,POINT (-58.39758757836207 -34.57986260827371)
-58.40067070180585,-34.57670591225761,2,Albania,"Tedin, Juez3036",,"TEDIN, JUEZ",3036,4809-3574,,ambasada.bue@fibertel.com.ar,Palermo,Comuna 14,,,POINT (-58.40067070180585 -34.57670591225761)
-58.44015947727599,-34.56754283442902,3,Alemania,Villanueva1055,,VILLANUEVA,1055,4778-2500,http://www.embajada-alemana.org.ar,,Palermo,Comuna 14,,,POINT (-58.44015947727599 -34.56754283442902)
-58.4023056549129,-34.57828975991645,70,Haití,"Figueroa Alcorta, Pres. Av.3297",,"FIGUEROA ALCORTA, PRES. AV.",3297,"4807-0211, 4802-5979",,embajadahaiti@fibertel.com.ar,Palermo,Comuna 14,,,POINT (-58.4023056549129 -34.57828975991645)
-58.401743184762125,-34.57863028941582,82,Irán,"Figueroa Alcorta, Pres. Av.3229",,"FIGUEROA ALCORTA, PRES. AV.",3229,"4802-1470, 4802-4821, 4805-4409,",,embajadairan@fibertel.com.ar,Palermo,Comuna 14,,,POINT (-58.401743184762125 -34.57863028941582)
-58.39981446186521,-34.57915450732306,80,Indonesia,"Castilla, Ramon, Mariscal2901",,"CASTILLA, RAMON, MARISCAL",2901,"4807-2211, 4807-2956, 4807-3324,","http://www.indonesianembassy.org.ar,  http://www.kbri-buenosaires.org.ar/",emindo@tournet.com.ar,Palermo,Comuna 14,,,POINT (-58.39981446186521 -34.57915450732306)
-58.418461597763304,-34.57389422785956,55,Estados Unidos,,,"KENNEDY, JOHN FITZGERALD",,5777-4533,http://usembassy.state.gov/buenosaires/,,Palermo,Comuna 14,,,POINT (-58.418461597763304 -34.57389422785956)
-58.402839967507774,-34.582209484029306,89,Italia,Billinghurst2577,,BILLINGHURST,2577,4011-2100,http://www.ambbuenosaires.esteri.it,Ambasciata.buenosaires@esteri.it,Palermo,Comuna 14,,,POINT (-58.402839967507774 -34.582209484029306)
-58.40524254888391,-34.58028606129243,94,Líbano,Del Libertador Av.2354,,DEL LIBERTADOR AV.,2354,4802-0466,http://www.ellibano.com.ar/,embajada@ellibano.com.ar,Palermo,Comuna 14,,,POINT (-58.40524254888391 -34.58028606129243)
-58.406535732677874,-34.57744445360158,106,Marruecos,Castex3461,,CASTEX,3461,"4801-8154, 4801-8155, 4801-8156, 4801-8157",http://www.embajadamarruecos.org.ar/,sifamarruecos@fibertel.com.ar,Palermo,Comuna 14,,,POINT (-58.406535732677874 -34.57744445360158)
-58.3982462493861,-34.57971155938991,114,Nigeria,"Estrada, Juez2746",,"ESTRADA, JUEZ",2746,"4808-9245, 4807-9445, 4807-1804,",http://nigerianembassy-argentina.org,,Palermo,Comuna 14,,,POINT (-58.3982462493861 -34.57971155938991)
-58.43120658235786,-34.57495770063629,167,Venezuela,"Campos, Luis M. Av.170",,"CAMPOS, LUIS M. AV.",170,TE: (0054-11) - 4129-0800 / Fax: (0054-11) - 4129-0823,http://argentina.embajada.gob.ve/,consulado.argentina@mppre.gob.ve,Palermo,Comuna 14,,,POINT (-58.43120658235786 -34.57495770063629)
-58.3986458857105,-34.58144921758634,29,Chile,Tagle2762,,TAGLE,2762,4808-8600,,data@embajadadechile.com.ar,Palermo,Comuna 14,,,POINT (-58.3986458857105 -34.58144921758634)
-58.440331082998384,-34.56863271873598,37,Croacia,Gorostiaga2104,,GOROSTIAGA,2104,4777-6409,,Embajada: croemb.ar@mvpei.hr,Palermo,Comuna 14,,,POINT (-58.440331082998384 -34.56863271873598)
-58.401594957176655,-34.57896307096764,50,Eslovaquia,"Figueroa Alcorta, Pres. Av.3240",,"FIGUEROA ALCORTA, PRES. AV.",3240,"4801-3917, 4804-8622, 4807-9451,",,embsl@fibertel.com.ar,Palermo,Comuna 14,,,POINT (-58.401594957176655 -34.57896307096764)
-58.44009978368426,-34.56764182140998,102,Malasia,Villanueva1040,,VILLANUEVA,1040,"4776-0504, 4776-2553, 4777-8420,",,mwbaires@fibertel.com.ar,Palermo,Comuna 14,,,POINT (-58.44009978368426 -34.56764182140998)
-58.44086095664513,-34.56910427247887,118,Pakistán,Gorostiaga2176,,GOROSTIAGA,2176,4775-1294,,parepbaires@fibertel.com.ar,Palermo,Comuna 14,,,POINT (-58.44086095664513 -34.56910427247887)
-58.402118596420934,-34.57972185829884,127,Polonia,"Aguado, Alejandro M. De2870",,"AGUADO, ALEJANDRO M. DE",2870,4808-1700,,emb@buenosaires.polemb.net,Palermo,Comuna 14,,,POINT (-58.402118596420934 -34.57972185829884)
-58.40547565284911,-34.57960471293315,133,República de Corea,Del Libertador Av.2395,,DEL LIBERTADOR AV.,2395,"4802-9665, 4802-0923, 4802-1029,",,embcorea@cscom.com.ar,Palermo,Comuna 14,,,POINT (-58.40547565284911 -34.57960471293315)
-58.445366133207024,-34.56560106106362,160,Turquía,11 De Septiembre De 18881382,,11 DE SEPTIEMBRE DE 1888,1382,"4785-7203, 4788-3239",,turkemb.buenosaires@mfa.gov.tr,Palermo,Comuna 14,,,POINT (-58.445366133207024 -34.56560106106362)
-58.401498490349134,-34.581421079773826,53,España,"Castilla, Ramon, Mariscal2720",(Cancillería),"CASTILLA, RAMON, MARISCAL",2720,"4802-6031, 4802-6032",,,Palermo,Comuna 14,,,POINT (-58.401498490349134 -34.581421079773826)
-58.49572020645423,-34.563060014021936,31,China,"Larralde, Crisologo Av.5349",,"LARRALDE, CRISOLOGO AV.",5349,4547-8100,,,Saavedra,Comuna 12,,,POINT (-58.49572020645423 -34.563060014021936)
-58.47025501219068,-34.57528871548332,76,Hungría,Plaza1726,,PLAZA,1726,4553-4646,,"hungria@escape.com.ar, mission.bue@kum.hu, embajadadehungria@arnetbiz.com.ar,",Villa Ortuzar,Comuna 15,,,POINT (-58.47025501219068 -34.57528871548332)
