estado_est;estado_est_desc;sector;sector_desc;cue;anexo;cueanexo;cui;estado_loc;estado_loc_desc;email;nombre_est;nombre_loc;barrio;calle;num;point_x;point_y;de;comuna;mingob;d_mingob;depfun;d_depfun;tipest;d_tipest;Oferta_CABA;Oferta_CABA_cod
1;activo;1;Estatal;200011;00;20001100;200184;1;activo;dep_epc19_de4@bue.edu.ar;REPUBLICA ITALIANA;REPUBLICA ITALIANA;BOCA;RIO CUARTO;1249;108808,8613;97955,48831;04;04;1;Ministerio de Educación;20;Dirección de Educación Primaria;2022;Escuelas de Jornada Completa;Nivel primario común;PriCom
1;activo;1;Estatal;200012;00;20001200;200175;1;activo;dep_epc3_de4@bue.edu.ar;JUAN MARIA GUTIERREZ;JUAN MARIA GUTIERREZ;BOCA;ROCHA;1226;108744,8894;98591,47661;04;04;1;Ministerio de Educación;20;Dirección de Educación Primaria;2022;Escuelas de Jornada Completa;Nivel primario común;PriCom
1;activo;1;Estatal;200015;00;20001500;200132;1;activo;DEAA_EP16_DE3@BUE.EDU.AR;EUSTAQUIO CARDENAS;EUSTAQUIO CARDENAS;CONSTITUCION;SALTA;1226;107380,0102;100735,027;03;01;1;Ministerio de Educación;60;Dirección de Educación del Adulto y del Adolescente;6061;Escuelas Primarias para Adultos;Nivel primario de jóvenes y adultos, Formación profesional / Capacitación laboral para jóvenes y adultos;PriAdu - FormProf
1;activo;2;Privada;200017;00;20001700;201523;1;activo;info@escuelalaaldea.edu.ar;ESCUELA DE LA ALDEA;ESCUELA DE LA ALDEA;NUÑEZ;NUÑEZ;2776;99325,1482;108567,7829;10;13;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel inicial común - Jardín maternal, Nivel inicial común - Jardín de infantes, Nivel primario común;MatCom - JardCom - PriCom
1;activo;1;Estatal;200018;00;20001800;200669;1;activo;dep_epc16_de14@bue.edu.ar;FRAY JUSTO SANTA MARIA DE ORO;FRAY JUSTO SANTA MARIA DE ORO;VILLA GRAL. MITRE;AVDA. ALVAREZ JONTE;1964;99280,2828;102840,7776;14;11;1;Ministerio de Educación;20;Dirección de Educación Primaria;2021;Escuelas de Jornada Simple;Nivel primario común;PriCom
1;activo;1;Estatal;200019;00;20001900;200136;1;activo;deaa_cens59_de3@bue.edu.ar;CENS Nº 59 DE 03;CENS Nº 59 DE 03;SAN CRISTOBAL;AVDA. SAN JUAN;2277;106053,0389;100694,5419;03;03;1;Ministerio de Educación;60;Dirección de Educación del Adulto y del Adolescente;6063;Centros Educativos de Nivel Secundario (CENS);Nivel secundario de jóvenes y adultos;SecAdu
1;activo;1;Estatal;200020;00;20002000;200308;1;activo;DEAA_CENS15_DE6@BUE.EDU.AR;CENS Nº 15 DE 06;CENS Nº 15 DE 06;ALMAGRO;AVDA. BELGRANO;3767;104016,5973;101507,0004;06;05;1;Ministerio de Educación;60;Dirección de Educación del Adulto y del Adolescente;6063;Centros Educativos de Nivel Secundario (CENS);Nivel secundario de jóvenes y adultos;SecAdu
1;activo;1;Estatal;200021;00;20002100;200133;1;activo;DEAA_CENS44_DE3@BUE.EDU.AR;CENS Nº 44 DE 03;CENS Nº 44 DE 03;SAN CRISTOBAL;AVDA. ENTRE RIOS;1341;106579,0198;100525,5236;03;03;1;Ministerio de Educación;60;Dirección de Educación del Adulto y del Adolescente;6063;Centros Educativos de Nivel Secundario (CENS);Nivel secundario de jóvenes y adultos;SecAdu
1;activo;1;Estatal;200022;00;20002200;200910;1;activo;dep_epc13_de20@bue.edu.ar;REPUBLICA DE FILIPINAS;REPUBLICA DE FILIPINAS;MATADEROS;COSQUIN;1943;95718,108;96754,06541;20;09;1;Ministerio de Educación;20;Dirección de Educación Primaria;2021;Escuelas de Jornada Simple;Nivel primario común;PriCom
1;activo;1;Estatal;200023;00;20002300;200917;1;activo;dep_epc20_de20@bue.edu.ar;JUAN RAMON JIMENEZ;JUAN RAMON JIMENEZ;MATADEROS;MURGUIONDO;1347;95905,1351;97501,04061;20;09;1;Ministerio de Educación;20;Dirección de Educación Primaria;2022;Escuelas de Jornada Completa;Nivel primario común;PriCom
1;activo;1;Estatal;200024;00;20002400;200625;1;activo;dep_epc7_de13@bue.edu.ar;RECUERDOS DE PROVINCIA;RECUERDOS DE PROVINCIA;VILLA LURO;AVDA. JUAN BAUTISTA ALBERDI;4755;97270,1425;98413,96261;13;10;1;Ministerio de Educación;20;Dirección de Educación Primaria;2021;Escuelas de Jornada Simple;Nivel primario común;PriCom
1;activo;1;Estatal;200025;00;20002500;200624;1;activo;dep_epc6_de13@bue.edu.ar/dep_epc6_de13@bue.edu.ar;CARLOS GUIDO Y SPANO;CARLOS GUIDO Y SPANO;VILLA LURO;CNEL. RAMON L. FALCON;4801;97090,7043;99025,99631;13;10;1;Ministerio de Educación;20;Dirección de Educación Primaria;2022;Escuelas de Jornada Completa;Nivel primario común;PriCom
1;activo;2;Privada;200026;00;20002600;201487;1;activo;info@ceiac.edu.ar;CENT. DE EST. INTERDISCIPLINAR. PARA EL APRENDIZ. Y LA COMU;CENTRO DE ESTUDIOS INTERDISCPLINARIOS PARA EL APRENDIZAJE Y LA COMUNICACION;BELGRANO;CAP. GRAL. RAMON FREIRE;1658;100256,4336;106458,8489;10;13;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel superior no universitario común;SNUCom
1;activo;2;Privada;200027;00;20002700;201532;1;activo;administracion@abc-kindergarten.com.ar;JARDIN INFANTES A.B.C.;JARDIN INFANTES A.B.C.;BELGRANO;SUPERI;2132;99670,4418;106838,6705;10;13;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel inicial común - Jardín de infantes;JardCom
1;activo;2;Privada;200028;00;20002800;201492;1;activo;SECRETARIAPRIMARIA@BETEL.EDU.AR;INSTITUTO BET-EL;INSTITUTO BET-EL;BELGRANO;CONDE;1860;99963,4542;106626,8016;10;13;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel inicial común - Jardín maternal, Nivel inicial común - Jardín de infantes, Nivel primario común;MatCom - JardCom - PriCom
1;activo;2;Privada;200029;00;20002900;201244;1;activo;sanpedro@donbosco.org.ar;INSTITUTO SAN PEDRO;INSTITUTO SAN PEDRO;BOCA;BENITO QUINQUELA MARTIN;1151;108871,9564;98526,06351;04;04;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel inicial común - Jardín de infantes, Nivel primario común;JardCom - PriCom
1;activo;2;Privada;200031;00;20003100;201036;1;activo;PRIMARIA@LASCUMBRES.EDU.AR;COLEGIO LAS CUMBRES;COLEGIO LAS CUMBRES;RECOLETA;GUIDO;1880;106654,9003;104405,995;01;02;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel inicial común - Jardín maternal, Nivel inicial común - Jardín de infantes, Nivel primario común, Nivel secundario común;MatCom - JardCom - PriCom - SecCom
1;activo;2;Privada;200033;00;20003300;201056;1;activo;secreped@dacconstanza.edu.ar;INSTITUTO CONSTANZA RAMOS MEJIA DE BUNGE;INSTITUTO CONSTANZA RAMOS MEJIA DE BUNGE;RETIRO;PARAGUAY;1252;107199,1282;103441,4314;01;01;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel inicial común - Jardín de infantes, Nivel primario común;JardCom - PriCom
1;activo;2;Privada;200034;00;20003400;202142;1;activo;direccion.inicial@santarsicio.edu.ar;INST. COLEGIO SAN TARSICIO;INST. COLEGIO SAN TARSICIO;RECOLETA;JUNCAL;2623;105495,6036;104348,7361;01;02;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel inicial común - Jardín maternal, Nivel inicial común - Jardín de infantes, Nivel primario común;MatCom - JardCom - PriCom
1;activo;1;Estatal;200036;00;20003600;200168;1;activo;DEAA_EP1_DE3@BUE.EDU.AR;VALENTIN GOMEZ;VALENTIN GOMEZ;SAN TELMO;AVDA. INDEPENDENCIA;758;107932,7178;101293,0766;03;01;1;Ministerio de Educación;60;Dirección de Educación del Adulto y del Adolescente;6061;Escuelas Primarias para Adultos;Nivel primario de jóvenes y adultos, Formación profesional / Capacitación laboral para jóvenes y adultos;PriAdu - FormProf
1;activo;1;Estatal;200037;00;20003700;200865;1;activo;dei_jinb22_de19@bue.edu.ar;JIN B DE 19 HOMERO MANZI;JIN B DE 19 (ESC. PRIM. N°11 DE 19) HOMERO MANZI;NUEVA POMPEYA;MOM;2380;102824,0038;98113,73611;19;04;1;Ministerio de Educación;10;Dirección de Educación Inicial;1011;Jardines de Infantes Nucleados (JIN);Nivel inicial común - Jardín maternal, Nivel inicial común - Jardín de infantes;MatCom - JardCom
1;activo;1;Estatal;200038;00;20003800;200844;1;activo;dep_epc1_de19@bue.edu.ar;MARIA SILVENTI DE AMATO;MARIA SILVENTI DE AMATO;NUEVA POMPEYA;ALAGON;300;103867,0864;98424,59131;19;04;1;Ministerio de Educación;20;Dirección de Educación Primaria;2021;Escuelas de Jornada Simple;Nivel primario común;PriCom
1;activo;1;Estatal;200039;00;20003900;200846;1;activo;dep_epc3_de19@bue.edu.ar;PROFESOR CARLOS J FLORIT;PROFESOR CARLOS JUSTO FLORIT;NUEVA POMPEYA;TILCARA;2856;103786,97;97830,70211;19;04;1;Ministerio de Educación;20;Dirección de Educación Primaria;2022;Escuelas de Jornada Completa;Nivel primario común;PriCom
1;activo;1;Estatal;200040;00;20004000;200847;1;activo;dep_epc4_de19@bue.edu.ar;RICARDO GUIRALDES;RICARDO GUIRALDES;FLORES;AVDA. RIESTRA;1850;102511,0079;98042,75091;19;07;1;Ministerio de Educación;20;Dirección de Educación Primaria;2021;Escuelas de Jornada Simple;Nivel primario común;PriCom
1;activo;1;Estatal;200041;00;20004100;200848;1;activo;dep_epc5_de19@bue.edu.ar;PROVINCIA DE CORRIENTES;PROVINCIA DE CORRIENTES;NUEVA POMPEYA;AVDA. CASEROS;4050;103828,01;98803,67831;19;04;1;Ministerio de Educación;20;Dirección de Educación Primaria;2022;Escuelas de Jornada Completa;Nivel primario común;PriCom
1;activo;1;Estatal;200042;00;20004200;200850;1;activo;dep_epc7_de19@bue.edu.ar;AERONAUTICA ARGENTINA;AERONAUTICA ARGENTINA;NUEVA POMPEYA;QUILMES;473;104193,9789;98261,67521;19;04;1;Ministerio de Educación;20;Dirección de Educación Primaria;2022;Escuelas de Jornada Completa;Nivel primario común;PriCom
1;activo;1;Estatal;200043;00;20004300;200853;1;activo;dep_epc10_de19@bue.edu.ar;JUAN ANDRES DE LA PEÑA;JUAN ANDRES DE LA PEÑA;NUEVA POMPEYA;ANIBAL PEDRO ARBELETCHE;1052;103627,9878;98167,70111;19;04;1;Ministerio de Educación;20;Dirección de Educación Primaria;2022;Escuelas de Jornada Completa;Nivel primario común;PriCom
1;activo;1;Estatal;200044;00;20004400;200855;1;activo;dei_jii1_de19@bue.edu.ar;JII Nº 01 DE 19 MANUEL BELGRANO;JII Nº 01 DE 19 MANUEL BELGRANO;FLORES;LAS CARACOLAS;2152;102043,0256;98209,76671;19;07;1;Ministerio de Educación;10;Dirección de Educación Inicial;1013;Jardines de Infantes Integrales (JII);Nivel inicial común - Jardín maternal, Nivel inicial común - Jardín de infantes;MatCom - JardCom
1;activo;1;Estatal;200045;00;20004500;202536;1;activo;DEAA_CENS63_DE1@BUE.EDU.AR;CENS Nº 63 DE 01;CENS Nº 63 DE 01;BALVANERA;PERON, JUAN DOMINGO, TTE. GENERAL;1818;106506,7815;102474,0429;01;03;1;Ministerio de Educación;60;Dirección de Educación del Adulto y del Adolescente;6063;Centros Educativos de Nivel Secundario (CENS);Nivel secundario de jóvenes y adultos;SecAdu
1;activo;1;Estatal;200046;00;20004600;200672;1;activo;dep_epc20_de14@bue.edu.ar;REPUBLICA DE HONDURAS;REPUBLICA DE HONDURAS;PATERNAL;AVDA. ELCANO;4861;99599,33;104137,7348;14;15;1;Ministerio de Educación;20;Dirección de Educación Primaria;2022;Escuelas de Jornada Completa;Nivel primario común;PriCom
1;activo;2;Privada;200047;00;20004700;201029;1;activo;ADMISIONES@BAYARD.EDU.AR/BAY@BAYARD.ESC.EDU.AR;INSTITUTO BAYARD;INSTITUTO BAYARD;PALERMO;CASTEX;3348;105295,2096;105664,6499;01;14;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel inicial común - Jardín maternal, Nivel inicial común - Jardín de infantes, Nivel primario común;MatCom - JardCom - PriCom
1;activo;1;Estatal;200048;00;20004800;200671;1;activo;dep_epc18_de14@bue.edu.ar;CABILDO DE BUENOS AIRES;CABILDO DE BUENOS AIRES;CHACARITA;AVDA. FEDERICO LACROZE;3839;100921,3387;105059,6584;14;15;1;Ministerio de Educación;20;Dirección de Educación Primaria;2022;Escuelas de Jornada Completa;Nivel primario común;PriCom
1;activo;2;Privada;200049;00;20004900;201271;1;activo;COLEGIOSANTALUCIA2005@YAHOO.COM.AR;INSTITUTO PARROQUIAL SANTA LUCIA;INSTITUTO PARROQUIAL SANTA LUCIA;BARRACAS;ISABEL LA CATOLICA;221;108159,0418;99419,70391;05;04;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel inicial común - Jardín de infantes, Nivel primario común;JardCom - PriCom
1;activo;1;Estatal;200050;00;20005000;200239;1;activo;dep_epc17_de5@bue.edu.ar;DR. PEDRO MELITON LEDESMA;DR. PEDRO MELITON LEDESMA;NUEVA POMPEYA;TRAFUL;3835;104440,942;97517,68171;05;04;1;Ministerio de Educación;20;Dirección de Educación Primaria;2021;Escuelas de Jornada Simple;Nivel primario común;PriCom
1;activo;1;Estatal;200051;00;20005100;200659;1;activo;dep_epc3_de14@bue.edu.ar;INGENIERO ALVAREZ CONDARCO;INGENIERO ALVAREZ CONDARCO;VILLA ORTUZAR;GIRARDOT;1946;99262,3691;104887,732;14;15;1;Ministerio de Educación;20;Dirección de Educación Primaria;2022;Escuelas de Jornada Completa;Nivel primario común;PriCom
1;activo;1;Estatal;200052;00;20005200;200686;1;activo;EDREC14_DE14@BUE.EDU.AR;ESCUELA INTEGRAL INTERDISCIPLINARIA N° 14 DE 14;ESCUELA INTEGRAL INTERDISCIPLINARIA N° 14 DE 14;VILLA ORTUZAR;AVDA. TRIUNVIRATO;3626;99152,3853;105213,7292;14;15;1;Ministerio de Educación;50;Dirección de Educación Especial;5051;Escuelas Integrales Interdisciplinarias;Nivel primario especial, Integración de modalidad especial;PriEsp - IntegEsp
1;activo;1;Estatal;200053;00;20005300;200187;1;activo;dep_epc24_de4@bue.edu.ar;PRESIDENTE DERQUI;PRESIDENTE DERQUI;BARRACAS;CALIFORNIA;1925;108029,8812;98008,51991;04;04;1;Ministerio de Educación;20;Dirección de Educación Primaria;2021;Escuelas de Jornada Simple;Nivel primario común;PriCom
1;activo;2;Privada;200054;00;20005400;201625;1;activo;vianneyinstituto@gmail.com;INSTITUTO SAN JUAN MARIA VIANNEY;INSTITUTO SAN JUAN MARIA VIANNEY;VILLA DEL PARQUE;AVDA. SAN MARTIN;4460;98212,0486;103449,6278;14;11;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel inicial común - Jardín maternal, Nivel inicial común - Jardín de infantes, Nivel primario común;MatCom - JardCom - PriCom
1;activo;2;Privada;200055;00;20005500;201248;1;activo;INTEGRAL_DEL_SUD@YAHOO.COM.AR;INSTITUTO INTEGRAL DEL SUD;INSTITUTO INTEGRAL DEL SUD;SAN TELMO;DEFENSA;1318;108449,0103;100656,1424;04;01;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel inicial común - Jardín maternal, Nivel inicial común - Jardín de infantes;MatCom - JardCom
1;activo;1;Estatal;200056;00;20005600;200301;1;activo;dep_epc10_de6@bue.edu.ar;FRANCISCO DE GURRUCHAGA;FRANCISCO DE GURRUCHAGA;SAN CRISTOBAL;AVDA. JUJUY;1471;105655,0293;100251,5687;06;03;1;Ministerio de Educación;20;Dirección de Educación Primaria;2022;Escuelas de Jornada Completa;Nivel primario común;PriCom
1;activo;1;Estatal;200057;00;20005700;200330;1;activo;EDREC6_DE6@BUE.EDU.AR;ESCUELA INTEGRAL INTERDISCIPLINARIA Nº 06 DE 06;ESCUELA INTEGRAL INTERDISCIPLINARIA Nº 06 DE 06;PARQUE PATRICIOS;INCLAN;3146;104989,0251;99790,60711;06;04;1;Ministerio de Educación;50;Dirección de Educación Especial;5051;Escuelas Integrales Interdisciplinarias;Nivel primario especial, Integración de modalidad especial;PriEsp - IntegEsp
1;activo;2;Privada;200058;00;20005800;201081;1;activo;CSTA_CONGRESO@UCA.EDU.AR;COLEGIO SECUNDARIO STO TOMAS DE AQUINO;COLEGIO SECUNDARIO STO TOMAS DE AQUINO;BALVANERA;TTE. GRAL. JUAN DOMINGO PERON;1862;106449,1046;102472,4849;01;03;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel secundario común;SecCom
1;activo;2;Privada;200058;01;20005801;202472;1;activo;CSTA_COLEGIALES@UCA.EDU.AR;COLEGIO SECUNDARIO STO TOMAS DE AQUINO;COLEGIO SECUNDARIO SANTO TOMAS DE AQUINO;COLEGIALES;CAP. GRAL. RAMON FREIRE;145;101771,55;105504,5753;09;13;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel primario común, Nivel secundario común;PriCom - SecCom
1;activo;1;Estatal;200060;00;20006000;200264;1;activo;EH2_DE5@BUE.EDU.AR;ESC. HOSPITALARIA Nº 02 DE 05;ESC. HOSPITALARIA Nº 02 DE 05;PARQUE PATRICIOS;COMBATE DE LOS POZOS;1881;106567,9924;99866,53911;05;04;1;Ministerio de Educación;50;Dirección de Educación Especial;5053;Escuelas Hospitalarias;Servicios complementarios/alternativos, Nivel inicial común de la submodalidad domiciliaria/hospitalaria, Nivel primario común de la submodalidad domiciliaria/hospitalaria, Nivel secundario común de la submodalidad hospitalaria/domiciliaria, Nivel inicial especial de la submodalidad domiciliaria/hospitalaria, Nivel primario especial de la submodalidad domiciliaria/hospitalaria, Nivel secundario adultos de la submodalidad hospitalaria/domiciliaria;ServComp - IniComHosp - PriComHosp - SecComHosp - IniEspHosp - PriEspHosp - SecAduHosp
1;activo;1;Estatal;200061;00;20006100;200680;1;activo;deaa_cens21_de4@bue.edu.ar;CENS Nº 21 DE 04;CENS Nº 21 DE 14;PATERNAL;BALBOA;210;99804,3187;103979,7298;14;15;1;Ministerio de Educación;60;Dirección de Educación del Adulto y del Adolescente;6063;Centros Educativos de Nivel Secundario (CENS);Nivel secundario de jóvenes y adultos;SecAdu
1;activo;1;Estatal;200062;00;20006200;200255;1;activo;edrec5_de5@bue.edu.ar;ESCUELA INTEGRAL INTERDISCIPLINARIA N° 05 DE 05;ESCUELA INTEGRAL INTERDISCIPLINARIA N° 05 DE 05;PARQUE PATRICIOS;JOSE A. CORTEJARENA;3350;104975,9649;98351,64031;05;04;1;Ministerio de Educación;50;Dirección de Educación Especial;5051;Escuelas Integrales Interdisciplinarias;Nivel primario especial, Integración de modalidad especial;PriEsp - IntegEsp
1;activo;1;Estatal;200063;00;20006300;200127;1;activo;dep_epc7_de3@bue.edu.ar;GENERAL GUEMES;GENERAL GUEMES;CONSTITUCION;CARLOS CALVO;1140;107439,0219;101039,4758;03;01;1;Ministerio de Educación;20;Dirección de Educación Primaria;2021;Escuelas de Jornada Simple;Nivel primario común;PriCom
1;activo;2;Privada;200065;00;20006500;201217;1;activo;HOGAR_DEL_PINO@YAHOO.COM.AR;INST. HOGAR DEL PINO;INST. HOGAR DEL PINO;CONSTITUCION;CONSTITUCION;1650;106815,4736;100449,5029;03;01;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel inicial común - Jardín de infantes, Nivel primario común;JardCom - PriCom
1;activo;1;Estatal;200070;00;20007000;200764;1;activo;DEAA_CENS66_DE3@BUE.EDU.AR;CENS Nº 66 DE 16;CENS Nº 66 DE 16;VILLA DEVOTO;JOSE CUBAS;4182;95201,3976;103371,9369;16;11;1;Ministerio de Educación;60;Dirección de Educación del Adulto y del Adolescente;6063;Centros Educativos de Nivel Secundario (CENS);Nivel secundario de jóvenes y adultos;SecAdu
1;activo;1;Estatal;200071;00;20007100;200130;1;activo;dep_epc14_de3@bue.edu.ar;GRAL MARIANO NECOCHEA;GRAL MARIANO NECOCHEA;MONTSERRAT;PTE. LUIS SAENZ PEÑA;463;106940,6124;101668,8646;03;01;1;Ministerio de Educación;20;Dirección de Educación Primaria;2022;Escuelas de Jornada Completa;Nivel primario común;PriCom
1;activo;2;Privada;200072;00;20007200;201200;1;activo;institutomontserrat1885@gmail.com;INSTITUTO NUESTRA SEÑORA DE MONSERRAT;INSTITUTO NUESTRA SEÑORA DE MONSERRAT;MONTSERRAT;AVDA. BELGRANO;1344;107154,6052;101741,8863;03;01;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel primario común;PriCom
1;activo;2;Privada;200072;02;20007202;201241;1;activo;institutomontserrat1885@gmail.com/jardinmontserrat@hotmail.com;INSTITUTO NUESTRA SEÑORA DE MONSERRAT;INSTITUTO NUESTRA SEÑORA DE MONSERRAT;MONTSERRAT;REPUBLICA BOLIVARIANA DE VENEZUELA;1232;107308,6284;101632,9125;03;01;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel inicial común - Jardín maternal, Nivel inicial común - Jardín de infantes;MatCom - JardCom
1;activo;1;Estatal;200073;00;20007300;200147;1;activo;dep_epc2_de3@bue.edu.ar;FRAY CAYETANO RODRIGUEZ;FRAY CAYETANO RODRIGUEZ;MONTSERRAT;CHILE;1670;106728,052;101372,4982;03;01;1;Ministerio de Educación;20;Dirección de Educación Primaria;2021;Escuelas de Jornada Simple;Nivel primario común;PriCom
